TechSupport,Dependents,StreamingMovies,PaymentMethod,OnlineBackup,OnlineSecurity,monthly_charges_bins,PhoneService,InternetService,MultipleLines,gender,Partner,SeniorCitizen,StreamingTV,PaperlessBilling,tenure_bins,Contract,DeviceProtection,customerID,Churn
Yes,No,No,Bank transfer (automatic),No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,No,No,Yes,No,"(36.0, 43.2]",One year,Yes,da2ae9f4-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,No,Yes,Yes,Yes,"(7.2, 14.4]",Month-to-month,No,d97f338e-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,No,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,No,No,Yes,Yes,"(36.0, 43.2]",Month-to-month,Yes,de920586-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),No,No,"(38.35, 48.4]",Yes,DSL,No,Female,No,No,No,Yes,"(7.2, 14.4]",Month-to-month,No,d9b2ab06-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,No,"(38.35, 48.4]",No,DSL,No phone service,Male,No,No,Yes,Yes,"(50.4, 57.6]",Month-to-month,No,e2924466-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(38.35, 48.4]",No,DSL,No phone service,Female,No,Yes,Yes,Yes,"(28.8, 36.0]",Month-to-month,Yes,d9cc204a-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Mailed check,No,No,"(68.5, 78.55]",Yes,DSL,No,Female,No,No,Yes,No,"(7.2, 14.4]",Month-to-month,No,df74efe0-82c9-11ec-954a-acde48001122,0
No,No,Yes,Credit card (automatic),No,Yes,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,No,Yes,No,No,"(28.8, 36.0]",Month-to-month,No,e374dbdc-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Female,Yes,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e4a120e2-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,Yes,No,"(48.4, 58.45]",Yes,DSL,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d84b36fc-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,Yes,"(28.3, 38.35]",No,DSL,No phone service,Male,No,No,No,Yes,"(7.2, 14.4]",Month-to-month,No,e5b95da0-82c9-11ec-954a-acde48001122,0
No,Yes,No,Electronic check,No,Yes,"(78.55, 88.6]",Yes,Fiber optic,Yes,Male,Yes,Yes,No,Yes,"(21.6, 28.8]",Month-to-month,No,e694bd32-82c9-11ec-954a-acde48001122,0
Yes,Yes,No,Electronic check,No,No,"(48.4, 58.45]",Yes,DSL,No,Male,Yes,No,No,Yes,"(21.6, 28.8]",Month-to-month,No,df3a450c-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(43.2, 50.4]",Month-to-month,No,e3de1246-82c9-11ec-954a-acde48001122,0
No,Yes,No,Bank transfer (automatic),Yes,No,"(78.55, 88.6]",Yes,Fiber optic,No,Male,Yes,Yes,Yes,Yes,"(43.2, 50.4]",One year,No,ea5900b8-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),No,No,"(68.5, 78.55]",Yes,Fiber optic,Yes,Female,No,No,No,Yes,"(28.8, 36.0]",Month-to-month,No,e4a58c68-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Bank transfer (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(43.2, 50.4]",Month-to-month,Yes,e83abb00-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,No,Female,Yes,No,Yes,Yes,"(14.4, 21.6]",Month-to-month,Yes,dc084672-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Male,No,No,No,Yes,"(28.8, 36.0]",Month-to-month,No,d8f8639a-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(21.6, 28.8]",One year,No internet service,d948194e-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),Yes,No,"(68.5, 78.55]",Yes,DSL,Yes,Male,Yes,Yes,Yes,Yes,"(50.4, 57.6]",One year,Yes,e5fda6cc-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,No,Male,Yes,Yes,Yes,Yes,"(36.0, 43.2]",One year,Yes,e41403ce-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,No,Yes,Yes,Yes,"(50.4, 57.6]",One year,Yes,d970c876-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Bank transfer (automatic),Yes,Yes,"(78.55, 88.6]",Yes,DSL,Yes,Male,No,No,Yes,Yes,"(64.8, 72.0]",Two year,No,da9b7430-82c9-11ec-954a-acde48001122,0
Yes,No,No,Mailed check,No,Yes,"(48.4, 58.45]",Yes,DSL,No,Male,No,No,No,No,"(21.6, 28.8]",Month-to-month,No,d9079c66-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(7.2, 14.4]",Month-to-month,No internet service,d7d5efd2-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,No,No,No internet service,No,"(64.8, 72.0]",Two year,No internet service,d86c76dc-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,No,"(78.55, 88.6]",Yes,DSL,Yes,Female,No,No,Yes,No,"(64.8, 72.0]",Two year,Yes,e17562a2-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Credit card (automatic),Yes,Yes,"(88.6, 98.65]",Yes,DSL,Yes,Female,Yes,Yes,Yes,No,"(64.8, 72.0]",Two year,Yes,dd8a6548-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(28.8, 36.0]",One year,No internet service,dcee2b1a-82c9-11ec-954a-acde48001122,0
Yes,No,No,Mailed check,No,No,"(48.4, 58.45]",Yes,DSL,No,Male,No,No,No,Yes,"(14.4, 21.6]",Month-to-month,No,e0bbdbe8-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,No,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,d8987160-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,No,"(57.6, 64.8]",Two year,No internet service,dd9722ce-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(28.3, 38.35]",No,DSL,No phone service,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,Yes,e66078f6-82c9-11ec-954a-acde48001122,0
Yes,No,No,Credit card (automatic),Yes,No,"(38.35, 48.4]",No,DSL,No phone service,Female,No,No,No,No,"(43.2, 50.4]",Two year,Yes,db91d500-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(21.6, 28.8]",Month-to-month,No internet service,d9a927e8-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Electronic check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,Yes,No,No internet service,No,"(43.2, 50.4]",Month-to-month,No internet service,dc284c2e-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(7.2, 14.4]",Month-to-month,No internet service,dd99ab66-82c9-11ec-954a-acde48001122,0
Yes,No,No,Bank transfer (automatic),No,No,"(58.45, 68.5]",Yes,DSL,Yes,Female,Yes,No,Yes,Yes,"(36.0, 43.2]",One year,No,da36cd78-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Electronic check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,d7df8c7c-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Female,Yes,No,No,No,"(36.0, 43.2]",Month-to-month,No,e2842dfe-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Electronic check,Yes,Yes,"(58.45, 68.5]",No,DSL,No phone service,Male,Yes,No,Yes,No,"(57.6, 64.8]",Two year,Yes,e815f7e8-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,No,Yes,Yes,Yes,"(36.0, 43.2]",Month-to-month,No,e39fa3f8-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,No,"(48.4, 58.45]",No,DSL,No phone service,Female,Yes,No,Yes,No,"(64.8, 72.0]",Two year,Yes,d8afd260-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(64.8, 72.0]",Two year,No internet service,dc9b7dac-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Mailed check,No,Yes,"(58.45, 68.5]",No,DSL,No phone service,Male,Yes,No,Yes,Yes,"(57.6, 64.8]",Two year,Yes,df638b42-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Mailed check,No,Yes,"(58.45, 68.5]",Yes,DSL,No,Male,Yes,No,No,Yes,"(28.8, 36.0]",Month-to-month,No,e81f2926-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,Yes,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d7ce14ec-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,Yes,"(57.6, 64.8]",Two year,No internet service,daabc5f6-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Electronic check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,Yes,No internet service,Yes,"(21.6, 28.8]",One year,No internet service,dc2bc8ae-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Mailed check,No,Yes,"(68.5, 78.55]",Yes,DSL,Yes,Female,No,No,No,No,"(43.2, 50.4]",Two year,No,df4dff7a-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,d7c7dca8-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,Yes,Yes,Yes,"(43.2, 50.4]",Month-to-month,Yes,d88fcf38-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Bank transfer (automatic),No,No,"(88.6, 98.65]",Yes,Fiber optic,No,Male,Yes,No,Yes,Yes,"(43.2, 50.4]",Month-to-month,Yes,e8614162-82c9-11ec-954a-acde48001122,0
Yes,No,No,Electronic check,No,No,"(48.4, 58.45]",Yes,DSL,No,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d882ee12-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Male,No,No,No,Yes,"(14.4, 21.6]",Month-to-month,No,d8ec8ffc-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,Yes,No internet service,Yes,"(21.6, 28.8]",Month-to-month,No internet service,dcc75490-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(7.2, 14.4]",Two year,No internet service,d87c00ca-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,No,"(108.7, 118.75]",Yes,Fiber optic,Yes,Male,No,No,Yes,Yes,"(57.6, 64.8]",Month-to-month,Yes,de13248c-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,Yes,"(98.65, 108.7]",Yes,Fiber optic,No,Male,Yes,No,Yes,Yes,"(21.6, 28.8]",Month-to-month,No,de200ac6-82c9-11ec-954a-acde48001122,0
No,No,Yes,Credit card (automatic),Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,Yes,"(57.6, 64.8]",One year,Yes,d8b33568-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(7.2, 14.4]",Month-to-month,No internet service,d80c9550-82c9-11ec-954a-acde48001122,0
Yes,No,No,Credit card (automatic),No,Yes,"(58.45, 68.5]",Yes,DSL,No,Male,No,No,Yes,Yes,"(-0.073, 7.2]",Month-to-month,No,dbbedb90-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Mailed check,No,Yes,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,No,"(64.8, 72.0]",Two year,Yes,dc4a8eb0-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,No,"(108.7, 118.75]",Yes,Fiber optic,Yes,Female,No,No,Yes,Yes,"(50.4, 57.6]",One year,Yes,de369eee-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),No,No,"(88.6, 98.65]",Yes,Fiber optic,No,Female,No,No,Yes,Yes,"(28.8, 36.0]",One year,No,e00568b8-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,Yes,No internet service,Yes,"(43.2, 50.4]",Two year,No internet service,dc03efd2-82c9-11ec-954a-acde48001122,0
Yes,No,No,Electronic check,No,Yes,"(78.55, 88.6]",Yes,Fiber optic,No,Female,No,No,No,No,"(28.8, 36.0]",Month-to-month,Yes,db1581b2-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Female,Yes,No,No internet service,No,"(64.8, 72.0]",Two year,No internet service,d9a250ee-82c9-11ec-954a-acde48001122,0
No,Yes,No,Bank transfer (automatic),No,No,"(38.35, 48.4]",Yes,DSL,No,Male,Yes,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,ea686a58-82c9-11ec-954a-acde48001122,0
Yes,Yes,No,Mailed check,No,No,"(48.4, 58.45]",Yes,DSL,No,Female,No,No,No,No,"(14.4, 21.6]",Month-to-month,No,dddeacca-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,No,No,Yes,No,"(7.2, 14.4]",Month-to-month,No,e959869c-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Male,Yes,No,No,No,"(-0.073, 7.2]",Month-to-month,Yes,d8d37832-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,Yes,Yes,"(28.3, 38.35]",No,DSL,No phone service,Male,Yes,No,No,No,"(-0.073, 7.2]",Month-to-month,No,e2238256-82c9-11ec-954a-acde48001122,0
Yes,No,No,Mailed check,No,Yes,"(28.3, 38.35]",No,DSL,No phone service,Female,No,No,No,No,"(14.4, 21.6]",Two year,No,e0c4831a-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(7.2, 14.4]",Month-to-month,No internet service,d921159c-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,d90bd3b2-82c9-11ec-954a-acde48001122,0
Yes,No,No,Bank transfer (automatic),No,No,"(48.4, 58.45]",Yes,DSL,No,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d987c81e-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Electronic check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Female,Yes,No,No internet service,No,"(50.4, 57.6]",One year,No internet service,dc41b8b2-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Credit card (automatic),Yes,Yes,"(88.6, 98.65]",Yes,DSL,Yes,Male,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,d8257d9a-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,Yes,Yes,No,No,"(57.6, 64.8]",Month-to-month,No,eac4b5c4-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),No,No,"(38.35, 48.4]",Yes,DSL,No,Male,No,No,No,Yes,"(7.2, 14.4]",Month-to-month,No,d9daf1ec-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Bank transfer (automatic),Yes,No,"(78.55, 88.6]",Yes,DSL,No,Female,Yes,No,Yes,No,"(28.8, 36.0]",Two year,Yes,e07db6ce-82c9-11ec-954a-acde48001122,0
No,Yes,No,Bank transfer (automatic),Yes,No,"(58.45, 68.5]",Yes,DSL,Yes,Female,Yes,No,Yes,Yes,"(57.6, 64.8]",Month-to-month,No,ea5f71be-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,Yes,"(98.65, 108.7]",Yes,Fiber optic,No,Female,Yes,No,Yes,No,"(14.4, 21.6]",Month-to-month,Yes,e953a4ca-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,Yes,"(88.6, 98.65]",Yes,Fiber optic,No,Male,Yes,No,Yes,Yes,"(28.8, 36.0]",Month-to-month,No,e946f69e-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Electronic check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,d7df8e2a-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Female,Yes,No,No internet service,Yes,"(64.8, 72.0]",Two year,No internet service,d7deafb4-82c9-11ec-954a-acde48001122,0
No,Yes,No,Mailed check,Yes,Yes,"(38.35, 48.4]",No,DSL,No phone service,Male,Yes,No,No,No,"(-0.073, 7.2]",Two year,Yes,e6cd0bba-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(-0.073, 7.2]",Month-to-month,Yes,e5bcf23a-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,No,No,"(58.45, 68.5]",Yes,DSL,Yes,Male,Yes,No,No,No,"(64.8, 72.0]",Month-to-month,No,de5a19b4-82c9-11ec-954a-acde48001122,0
Yes,No,No,Bank transfer (automatic),Yes,Yes,"(58.45, 68.5]",Yes,DSL,Yes,Male,Yes,No,No,No,"(64.8, 72.0]",Two year,No,db6c5ffa-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(21.6, 28.8]",One year,No internet service,d7fc5b68-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),Yes,No,"(68.5, 78.55]",Yes,Fiber optic,No,Female,No,Yes,No,Yes,"(50.4, 57.6]",Month-to-month,No,e5e674d4-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,Yes,No,No internet service,Yes,"(7.2, 14.4]",Two year,No internet service,d921eaf8-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Credit card (automatic),Yes,Yes,"(58.45, 68.5]",No,DSL,No phone service,Female,Yes,No,Yes,Yes,"(43.2, 50.4]",Two year,Yes,e887da84-82c9-11ec-954a-acde48001122,0
Yes,No,No,Bank transfer (automatic),Yes,Yes,"(48.4, 58.45]",No,DSL,No phone service,Male,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,dae9d648-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,Yes,"(48.4, 58.45]",Yes,DSL,No,Female,No,No,No,Yes,"(28.8, 36.0]",Month-to-month,No,e1eb569c-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Male,No,No,Yes,Yes,"(-0.073, 7.2]",Month-to-month,No,e1d4ae42-82c9-11ec-954a-acde48001122,0
No,Yes,No,Electronic check,Yes,No,"(68.5, 78.55]",Yes,Fiber optic,No,Male,Yes,No,No,Yes,"(21.6, 28.8]",Month-to-month,No,e6ab0fec-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(21.6, 28.8]",One year,No internet service,dac56cc2-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,Yes,"(-0.073, 7.2]",Month-to-month,No internet service,d8667c0a-82c9-11ec-954a-acde48001122,0
Yes,Yes,No,Credit card (automatic),Yes,Yes,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,No,"(64.8, 72.0]",Two year,Yes,df0c09e4-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(78.55, 88.6]",Yes,Fiber optic,No,Female,No,Yes,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e9d3da28-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,No,"(14.4, 21.6]",One year,No internet service,d91600d0-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(78.55, 88.6]",Yes,Fiber optic,No,Female,No,Yes,Yes,Yes,"(-0.073, 7.2]",Month-to-month,No,d8dd6928-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,No,"(28.3, 38.35]",No,DSL,No phone service,Female,No,No,No,No,"(7.2, 14.4]",Month-to-month,No,e5a510b6-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,Yes,"(78.55, 88.6]",Yes,Fiber optic,Yes,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e244d3c0-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(18.148999999999997, 28.3]",No,DSL,No phone service,Male,Yes,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d9c538ca-82c9-11ec-954a-acde48001122,0
No,No,Yes,Mailed check,No,No,"(78.55, 88.6]",Yes,Fiber optic,No,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,Yes,ea331bfa-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(38.35, 48.4]",Yes,DSL,No,Male,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,d7e8fabe-82c9-11ec-954a-acde48001122,0
Yes,Yes,No,Credit card (automatic),Yes,Yes,"(48.4, 58.45]",No,DSL,No phone service,Female,Yes,No,Yes,No,"(-0.073, 7.2]",Two year,Yes,df05f928-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),No,No,"(88.6, 98.65]",Yes,Fiber optic,No,Female,Yes,Yes,Yes,Yes,"(14.4, 21.6]",One year,No,e3c2b082-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),No,Yes,"(58.45, 68.5]",Yes,DSL,No,Male,Yes,Yes,Yes,No,"(14.4, 21.6]",Month-to-month,Yes,e5344e4e-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Electronic check,Yes,No,"(88.6, 98.65]",Yes,Fiber optic,No,Male,Yes,No,Yes,Yes,"(57.6, 64.8]",Month-to-month,No,e7a74b0e-82c9-11ec-954a-acde48001122,0
No,Yes,No,Mailed check,No,No,"(38.35, 48.4]",Yes,DSL,No,Female,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,d927d526-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Female,No,No,No internet service,No,"(50.4, 57.6]",Two year,No internet service,dc65f466-82c9-11ec-954a-acde48001122,0
No,Yes,No,Electronic check,Yes,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(36.0, 43.2]",Month-to-month,Yes,d922c39c-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,No,Male,No,No,Yes,Yes,"(7.2, 14.4]",Month-to-month,Yes,de192788-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,No,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,Yes,"(57.6, 64.8]",Month-to-month,Yes,de8884c0-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Credit card (automatic),Yes,Yes,"(98.65, 108.7]",Yes,Fiber optic,No,Male,Yes,No,No,No,"(64.8, 72.0]",Two year,Yes,de74b3d2-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Electronic check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,No,"(7.2, 14.4]",One year,No internet service,da779376-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Male,No,Yes,No,No,"(21.6, 28.8]",Month-to-month,No,e4ae5c30-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,Yes,"(48.4, 58.45]",Yes,DSL,Yes,Male,No,Yes,No,No,"(7.2, 14.4]",Month-to-month,No,e5b5d7b6-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,Yes,Yes,Yes,"(64.8, 72.0]",One year,Yes,e158fa4a-82c9-11ec-954a-acde48001122,0
