InternetService,Dependents,Partner,StreamingTV,OnlineSecurity,PaperlessBilling,SeniorCitizen,StreamingMovies,tenure_bins,PaymentMethod,DeviceProtection,Contract,TechSupport,monthly_charges_bins,MultipleLines,gender,PhoneService,OnlineBackup,customerID,Churn
DSL,Yes,Yes,Yes,No,Yes,No,Yes,"(57.6, 64.8]",Electronic check,No,Two year,Yes,"(48.4, 58.45]",No phone service,Female,No,Yes,d4631ff6-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,bf05a9bc-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(36.0, 43.2]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bee04ac8-7b0c-11ec-a944-acde48001122,0
No,Yes,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Bank transfer (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c6eea250-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(78.55, 88.6]",Yes,Female,Yes,No,cbc2d986-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,No,No,"(21.6, 28.8]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,Yes,c405ae08-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,Yes,No,No,Yes,"(14.4, 21.6]",Bank transfer (automatic),No,Two year,Yes,"(58.45, 68.5]",No,Female,Yes,Yes,d5168244-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,becf8a9e-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c5f4c41a-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Mailed check,Yes,Two year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,c0773a36-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,bedd636c-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,bfade4ba-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,No,c044ca7e-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,No,No,Yes,No,Yes,"(21.6, 28.8]",Electronic check,No,One year,Yes,"(88.6, 98.65]",Yes,Female,Yes,No,c9a39ca8-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,beef967c-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(43.2, 50.4]",Mailed check,Yes,Two year,Yes,"(78.55, 88.6]",No,Male,Yes,Yes,d09f4ea8-7b0c-11ec-a944-acde48001122,0
DSL,Yes,No,Yes,No,No,No,Yes,"(7.2, 14.4]",Credit card (automatic),No,Month-to-month,No,"(58.45, 68.5]",No,Male,Yes,No,d3e9e140-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,No,No,No,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bf85c78c-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,No,Yes,Yes,No,"(-0.073, 7.2]",Bank transfer (automatic),Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,No,c401dfc6-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,Yes,No,No,"(21.6, 28.8]",Mailed check,Yes,Month-to-month,Yes,"(28.3, 38.35]",No phone service,Female,No,No,cd12d4da-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,No,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,Yes,d215944a-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,d0323278-7b0c-11ec-a944-acde48001122,1
DSL,Yes,Yes,No,No,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),No,Two year,Yes,"(68.5, 78.55]",Yes,Male,Yes,Yes,d2c4d68a-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,bf08692c-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,Yes,No internet service,"(28.8, 36.0]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c56e0a38-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(21.6, 28.8]",Bank transfer (automatic),Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,Yes,cfcd2f0e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(28.8, 36.0]",Bank transfer (automatic),Yes,Month-to-month,No,"(98.65, 108.7]",No,Male,Yes,Yes,c3dc065c-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,Yes,cf7afd42-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bf0d0ce8-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Bank transfer (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c0246bee-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,Yes,No,No,No,"(57.6, 64.8]",Bank transfer (automatic),No,One year,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,c91dce34-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,bf1c032e-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,No,Yes,No,No,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,c40a6416-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,Yes,"(98.65, 108.7]",No,Male,Yes,Yes,c910e886-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,becac9b4-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Credit card (automatic),No,Month-to-month,No,"(38.35, 48.4]",No phone service,Female,No,Yes,ccc94c20-7b0c-11ec-a944-acde48001122,1
DSL,No,No,Yes,Yes,No,No,Yes,"(28.8, 36.0]",Mailed check,No,One year,No,"(68.5, 78.55]",Yes,Female,Yes,No,cb0c67be-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,c3333ff4-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,becda2ce-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(21.6, 28.8]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,cfb33f86-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,No,No,Yes,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,No,c0a89298-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,No,No,No,"(43.2, 50.4]",Credit card (automatic),No,Two year,Yes,"(68.5, 78.55]",Yes,Male,Yes,Yes,d4413fd0-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,Yes,Yes,No,No,"(64.8, 72.0]",Bank transfer (automatic),No,Two year,Yes,"(88.6, 98.65]",Yes,Female,Yes,Yes,c9844d08-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,Yes,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,c04e167e-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,bf2acdaa-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,No,Yes,No,"(50.4, 57.6]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,c4d80592-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Electronic check,Yes,One year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,c929bcd0-7b0c-11ec-a944-acde48001122,1
No,Yes,No,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Credit card (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c759b3ec-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,"(21.6, 28.8]",Electronic check,No,One year,No,"(88.6, 98.65]",Yes,Male,Yes,No,c1aba0f4-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,Yes,No,"(28.8, 36.0]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,d20baf2a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(28.8, 36.0]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,c29db5d8-7b0c-11ec-a944-acde48001122,1
No,No,Yes,No internet service,No internet service,Yes,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,bf888efe-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,becace0a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Bank transfer (automatic),No,One year,Yes,"(98.65, 108.7]",Yes,Female,Yes,Yes,c257afca-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Two year,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c32d5ff8-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(14.4, 21.6]",Credit card (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c501422c-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Female,Yes,Yes,c00fdc38-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,One year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,bf7040c4-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Female,Yes,No,bf1b1324-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(28.8, 36.0]",Electronic check,Yes,Month-to-month,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,c3d0ceea-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c6d97f1a-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,No,Yes,Yes,No,"(7.2, 14.4]",Credit card (automatic),No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,c9b0ca9a-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,No,No,Yes,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,c9fd8a60-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,Yes,Yes,No,No,"(36.0, 43.2]",Electronic check,Yes,One year,Yes,"(88.6, 98.65]",No,Female,Yes,No,c3e1a7ce-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,Yes,Yes,Yes,No,"(14.4, 21.6]",Bank transfer (automatic),Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,c1d04d96-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(50.4, 57.6]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c2abcf10-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,Yes,Yes,No,No,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,d28ac53a-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(28.8, 36.0]",Electronic check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,c6cabd7c-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,No,Yes,No,Yes,"(43.2, 50.4]",Mailed check,No,One year,No,"(78.55, 88.6]",Yes,Female,Yes,No,c998885e-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,c964d23e-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,No,cd2669fa-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,Yes,No,No,No,"(36.0, 43.2]",Credit card (automatic),No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,No,d33c14ca-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,No,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,No,"(88.6, 98.65]",Yes,Male,Yes,No,c9b2dda8-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,No,Yes,No,No,"(21.6, 28.8]",Credit card (automatic),No,Month-to-month,Yes,"(78.55, 88.6]",Yes,Male,Yes,Yes,c7e5625c-7b0c-11ec-a944-acde48001122,0
No,Yes,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c0ba54e2-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(58.45, 68.5]",Yes,Female,Yes,No,cec1d6f0-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,beebf878-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,c783193a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,No,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",No,Male,Yes,Yes,d13b57a8-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(21.6, 28.8]",Credit card (automatic),No,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,c16b6f02-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(7.2, 14.4]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,No,bf9d91dc-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(36.0, 43.2]",Mailed check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c4db2254-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,Yes,No,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",Yes,Female,Yes,No,ce7fd480-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c6104d98-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,No,No,Yes,"(43.2, 50.4]",Electronic check,Yes,One year,No,"(68.5, 78.55]",Yes,Female,Yes,Yes,cc474018-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bf1752ac-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,No,No,Yes,"(50.4, 57.6]",Electronic check,Yes,Two year,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,c153b0d8-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,Yes,No,No,No,"(64.8, 72.0]",Credit card (automatic),No,Two year,Yes,"(58.45, 68.5]",Yes,Female,Yes,No,d313581e-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,Yes,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,bee59776-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,No,No,No,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,No,d2d04a6a-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,becac7ca-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(43.2, 50.4]",Bank transfer (automatic),Yes,One year,No,"(98.65, 108.7]",Yes,Female,Yes,No,c0d7bcbc-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,No,No,Yes,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,d1705a34-7b0c-11ec-a944-acde48001122,1
No,Yes,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,beea2b06-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,Yes,No,No,No,"(21.6, 28.8]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,Yes,c991636c-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,No,No,Yes,"(50.4, 57.6]",Bank transfer (automatic),No,One year,No,"(88.6, 98.65]",No,Female,Yes,No,c9bc0fae-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(36.0, 43.2]",Bank transfer (automatic),No,Two year,Yes,"(48.4, 58.45]",No,Male,Yes,No,ccd83ad2-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,c0271ff6-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c0fceff0-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,"(14.4, 21.6]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,c5c35650-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,No,No,Yes,No,No,"(28.8, 36.0]",Mailed check,No,One year,Yes,"(48.4, 58.45]",No,Female,Yes,No,ca99a774-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,Yes,No,No,No,"(36.0, 43.2]",Mailed check,No,One year,Yes,"(68.5, 78.55]",No,Male,Yes,Yes,cae003ae-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,c90befe8-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,Yes,Month-to-month,Yes,"(78.55, 88.6]",No,Male,Yes,No,c4b8c268-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,Yes,Yes,Yes,"(21.6, 28.8]",Bank transfer (automatic),No,Month-to-month,No,"(28.3, 38.35]",No phone service,Male,No,No,cd4ec7c4-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,No,No,No,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Female,Yes,Yes,c46b21b6-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,Yes,Yes,No,Yes,"(57.6, 64.8]",Credit card (automatic),Yes,Two year,Yes,"(78.55, 88.6]",Yes,Female,Yes,Yes,cab67dfe-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,No,No,"(28.8, 36.0]",Credit card (automatic),Yes,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,No,c4097402-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(28.3, 38.35]",No phone service,Female,No,Yes,d2e5a040-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,Yes,No,No,No,"(64.8, 72.0]",Mailed check,Yes,Two year,Yes,"(38.35, 48.4]",No phone service,Male,No,No,d411fd38-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bef434a2-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,Yes,No,Yes,Yes,"(64.8, 72.0]",Mailed check,Yes,Two year,Yes,"(88.6, 98.65]",Yes,Female,Yes,Yes,cb5f1e82-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,Yes,No,No,"(14.4, 21.6]",Mailed check,Yes,Month-to-month,Yes,"(68.5, 78.55]",Yes,Female,Yes,No,ced6ad64-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf11bebe-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(50.4, 57.6]",Electronic check,No,One year,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,c27e911c-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,No,Yes,Yes,No,No,"(50.4, 57.6]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,Yes,c98864d8-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bed435b2-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,becc730e-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,No,No,No,"(64.8, 72.0]",Mailed check,Yes,Two year,Yes,"(48.4, 58.45]",No phone service,Male,No,No,d4a5dee0-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,"(43.2, 50.4]",Bank transfer (automatic),Yes,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,c8eb236c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bf47f0b0-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,bf6acb8a-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,Yes,No,No,No,"(36.0, 43.2]",Electronic check,Yes,One year,Yes,"(58.45, 68.5]",Yes,Male,Yes,Yes,cf3d553c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,d07dc652-7b0c-11ec-a944-acde48001122,1
