TechSupport,InternetService,DeviceProtection,StreamingTV,OnlineSecurity,monthly_charges_bins,tenure_bins,OnlineBackup,PaymentMethod,Contract,Dependents,Partner,gender,SeniorCitizen,PhoneService,MultipleLines,PaperlessBilling,StreamingMovies,customerID,Churn
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,Yes,No,Male,No,Yes,No,Yes,No internet service,c488e79a-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,Yes,"(78.55, 88.6]","(57.6, 64.8]",Yes,Bank transfer (automatic),Two year,No,No,Male,No,Yes,No,Yes,Yes,ca4e9882-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(28.8, 36.0]",No,Credit card (automatic),Month-to-month,Yes,Yes,Female,No,Yes,Yes,No,Yes,cf67dfae-82c9-11ec-acdd-acde48001122,1
Yes,Fiber optic,No,Yes,No,"(98.65, 108.7]","(57.6, 64.8]",Yes,Credit card (automatic),One year,No,No,Male,No,Yes,Yes,Yes,Yes,cb250d18-82c9-11ec-acdd-acde48001122,1
Yes,DSL,No,No,Yes,"(58.45, 68.5]","(57.6, 64.8]",No,Bank transfer (automatic),One year,No,Yes,Female,No,Yes,Yes,Yes,No,c78e0a38-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,c476404a-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Two year,Yes,Yes,Male,No,Yes,No,No,No internet service,c5cfba16-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(88.6, 98.65]","(21.6, 28.8]",Yes,Bank transfer (automatic),Month-to-month,Yes,Yes,Female,No,Yes,No,Yes,No,d2e4b8a0-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,No,No,c59c22d2-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,No,"(78.55, 88.6]","(50.4, 57.6]",No,Bank transfer (automatic),Month-to-month,No,No,Male,No,Yes,Yes,No,No,d5271392-82c9-11ec-acdd-acde48001122,1
No,DSL,No,Yes,No,"(38.35, 48.4]","(14.4, 21.6]",No,Credit card (automatic),One year,No,No,Female,No,No,No phone service,Yes,Yes,d2388e18-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(7.2, 14.4]",No,Electronic check,Month-to-month,Yes,Yes,Male,No,Yes,No,No,Yes,d4fc7394-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(38.35, 48.4]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Male,Yes,Yes,No,No,No,d14c0782-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(36.0, 43.2]",No internet service,Credit card (automatic),Month-to-month,No,Yes,Female,No,Yes,No,No,No internet service,c9eefe40-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Credit card (automatic),Two year,No,No,Male,No,Yes,No,Yes,No internet service,c4f90c0a-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,Yes,"(88.6, 98.65]","(-0.073, 7.2]",Yes,Credit card (automatic),Month-to-month,No,Yes,Male,Yes,Yes,Yes,Yes,Yes,d58bfee2-82c9-11ec-acdd-acde48001122,1
Yes,DSL,No,Yes,No,"(58.45, 68.5]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Female,No,Yes,No,Yes,No,ca19bdb0-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,No,No,Female,No,Yes,No,No,No,c5a0f4ce-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,Yes,"(88.6, 98.65]","(14.4, 21.6]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,No,Yes,d5fb97b6-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(36.0, 43.2]",No internet service,Bank transfer (automatic),Month-to-month,No,Yes,Female,No,Yes,No,No,No internet service,c9e02ff0-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,Yes,No,"(108.7, 118.75]","(64.8, 72.0]",Yes,Electronic check,Two year,No,Yes,Female,No,Yes,Yes,No,Yes,c9f818ae-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(88.6, 98.65]","(28.8, 36.0]",No,Electronic check,One year,No,Yes,Male,No,Yes,No,Yes,Yes,c627e664-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,No,No,"(28.3, 38.35]","(14.4, 21.6]",No,Electronic check,Month-to-month,No,No,Female,No,No,No phone service,Yes,No,cc4439f8-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,Yes,"(88.6, 98.65]","(7.2, 14.4]",Yes,Electronic check,Month-to-month,No,No,Female,No,Yes,Yes,Yes,No,d5fe21fc-82c9-11ec-acdd-acde48001122,1
Yes,DSL,No,No,No,"(48.4, 58.45]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,No,c4e68e4a-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,No,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Female,No,Yes,No,Yes,Yes,d62bac76-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,Yes,"(88.6, 98.65]","(43.2, 50.4]",Yes,Credit card (automatic),Month-to-month,No,Yes,Male,No,Yes,Yes,Yes,Yes,d5a2116e-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,No,"(58.45, 68.5]","(36.0, 43.2]",No,Electronic check,One year,No,No,Female,No,Yes,No,No,Yes,c7cd7b00-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,No,"(48.4, 58.45]","(57.6, 64.8]",No,Credit card (automatic),Two year,No,No,Male,No,Yes,Yes,No,No,cea1d6ce-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(7.2, 14.4]",No,Electronic check,Month-to-month,No,Yes,Female,No,Yes,Yes,Yes,Yes,d4fff0aa-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(88.6, 98.65]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,No,Yes,Female,No,Yes,Yes,Yes,Yes,d586ec4a-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,Yes,"(58.45, 68.5]","(14.4, 21.6]",No,Bank transfer (automatic),Month-to-month,No,No,Male,No,Yes,Yes,No,Yes,d255d2e8-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,No,No,"(68.5, 78.55]","(50.4, 57.6]",No,Electronic check,Month-to-month,No,Yes,Female,No,Yes,Yes,Yes,No,d6212198-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(68.5, 78.55]","(7.2, 14.4]",No,Mailed check,Month-to-month,No,No,Male,No,Yes,No,No,No,c57c9606-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(28.8, 36.0]",No,Credit card (automatic),Month-to-month,No,No,Male,Yes,Yes,No,No,No,cfa962b2-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,No,No,"(78.55, 88.6]","(28.8, 36.0]",Yes,Credit card (automatic),Month-to-month,Yes,Yes,Female,No,Yes,Yes,No,No,caee179a-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,No,No,"(88.6, 98.65]","(-0.073, 7.2]",Yes,Credit card (automatic),Month-to-month,No,No,Male,Yes,Yes,No,Yes,Yes,cac89fc4-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,Yes,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,Yes,Yes,No,c58d9d0c-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,No,"(38.35, 48.4]","(43.2, 50.4]",No,Credit card (automatic),Month-to-month,No,No,Male,No,Yes,No,Yes,No,d126bf9a-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(64.8, 72.0]",Yes,Electronic check,One year,Yes,Yes,Male,Yes,Yes,Yes,Yes,Yes,c6f280b8-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,Yes,"(58.45, 68.5]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,Yes,Yes,Female,No,No,No phone service,Yes,Yes,cafa8d40-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,Yes,No,"(108.7, 118.75]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,No,Yes,Male,Yes,Yes,Yes,Yes,Yes,c65526c4-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,Yes,Yes,No,Yes,No,c4fab50a-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Credit card (automatic),One year,Yes,Yes,Male,No,Yes,No,Yes,No internet service,c7247848-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,No,Yes,"(78.55, 88.6]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,No,Yes,Male,No,Yes,No,No,No,cbfb79fc-82c9-11ec-acdd-acde48001122,0
No,DSL,No,Yes,No,"(28.3, 38.35]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,Yes,Male,Yes,No,No phone service,Yes,No,d24b81b2-82c9-11ec-acdd-acde48001122,1
Yes,DSL,No,No,Yes,"(58.45, 68.5]","(50.4, 57.6]",No,Credit card (automatic),One year,No,No,Male,No,Yes,Yes,No,No,c76c8f8e-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,No,No,Female,No,Yes,No,No,No internet service,c46b1b66-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(88.6, 98.65]","(7.2, 14.4]",No,Electronic check,One year,Yes,Yes,Male,No,Yes,Yes,Yes,No,d2829666-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,No,Yes,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,Yes,Yes,Male,No,Yes,Yes,Yes,No,d3858ad2-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Mailed check,Two year,Yes,Yes,Male,No,Yes,No,Yes,No internet service,c614beea-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,One year,Yes,Yes,Female,No,Yes,No,No,No internet service,c51a1648-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(18.148999999999997, 28.3]","(14.4, 21.6]",No,Mailed check,Month-to-month,No,No,Male,No,No,No phone service,Yes,No,d0fde854-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,Yes,No,"(98.65, 108.7]","(43.2, 50.4]",Yes,Electronic check,One year,No,Yes,Female,No,Yes,Yes,Yes,Yes,cb30d832-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,No,No,Female,No,Yes,No,Yes,No internet service,c46db6b4-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(28.8, 36.0]",No internet service,Credit card (automatic),Two year,Yes,Yes,Female,No,Yes,No,No,No internet service,c5b76cae-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(50.4, 57.6]",No internet service,Mailed check,Two year,Yes,Yes,Male,No,Yes,Yes,No,No internet service,c4e9deb0-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,Yes,No,Female,Yes,Yes,No,Yes,No,cfb7886a-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(21.6, 28.8]",No internet service,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,No internet service,c5ac3262-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(7.2, 14.4]",Yes,Electronic check,Month-to-month,No,No,Male,Yes,Yes,No,Yes,No,c57efa36-82c9-11ec-acdd-acde48001122,1
Yes,DSL,No,No,Yes,"(68.5, 78.55]","(64.8, 72.0]",Yes,Credit card (automatic),Two year,No,Yes,Male,No,Yes,No,Yes,Yes,c79ccdd4-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,Yes,"(88.6, 98.65]","(50.4, 57.6]",Yes,Credit card (automatic),One year,No,Yes,Male,No,Yes,Yes,Yes,Yes,d5a05806-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,Yes,"(78.55, 88.6]","(50.4, 57.6]",Yes,Credit card (automatic),Two year,Yes,Yes,Female,No,Yes,Yes,No,No,ca47fea0-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,Yes,No,"(88.6, 98.65]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,Yes,cbd92348-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(28.8, 36.0]",No,Electronic check,Month-to-month,No,No,Male,Yes,Yes,Yes,Yes,Yes,c5c39290-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,No,"(38.35, 48.4]","(7.2, 14.4]",No,Mailed check,Month-to-month,Yes,No,Male,No,Yes,No,No,No,d1169354-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,No,Yes,c572e688-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(36.0, 43.2]",No internet service,Mailed check,Month-to-month,Yes,Yes,Female,No,Yes,Yes,No,No internet service,c94da2e8-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,Yes,No,"(68.5, 78.55]","(21.6, 28.8]",No,Credit card (automatic),Month-to-month,No,Yes,Female,No,Yes,Yes,Yes,Yes,cc9642fc-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,No,"(58.45, 68.5]","(14.4, 21.6]",Yes,Bank transfer (automatic),One year,No,No,Male,No,Yes,No,Yes,Yes,c7d34c7e-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,One year,No,No,Male,No,Yes,No,No,No internet service,c47f299e-82c9-11ec-acdd-acde48001122,0
No,DSL,No,Yes,Yes,"(68.5, 78.55]","(57.6, 64.8]",Yes,Credit card (automatic),One year,No,No,Male,No,Yes,No,Yes,Yes,d1a81e0a-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,Yes,"(28.3, 38.35]","(36.0, 43.2]",No,Bank transfer (automatic),Month-to-month,No,Yes,Female,No,No,No phone service,No,No,c82ee5a2-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,No,No,Male,No,Yes,No,No,No internet service,c46a4e48-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Electronic check,Month-to-month,No,Yes,Female,No,Yes,No,No,No internet service,ce05c7a2-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,No,"(48.4, 58.45]","(7.2, 14.4]",No,Credit card (automatic),Month-to-month,No,Yes,Male,No,Yes,No,No,No,cebea7ae-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]","(50.4, 57.6]",Yes,Electronic check,Month-to-month,No,Yes,Male,No,Yes,Yes,No,Yes,d41647d4-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,Yes,Yes,No,Yes,No,c62c13c4-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(7.2, 14.4]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,No,Yes,d502887e-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(21.6, 28.8]",No,Electronic check,Month-to-month,No,Yes,Male,Yes,Yes,No,Yes,No,d00b3820-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,No,Yes,"(88.6, 98.65]","(64.8, 72.0]",No,Credit card (automatic),One year,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,cc0c8300-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(68.5, 78.55]","(14.4, 21.6]",No,Bank transfer (automatic),Month-to-month,No,Yes,Male,No,Yes,No,Yes,No,c57fcb3c-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,Yes,No,"(58.45, 68.5]","(7.2, 14.4]",No,Credit card (automatic),Month-to-month,Yes,No,Female,No,Yes,No,Yes,No,ce18e7c4-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(7.2, 14.4]",No,Bank transfer (automatic),Month-to-month,No,Yes,Female,Yes,Yes,Yes,Yes,Yes,c7c039e0-82c9-11ec-acdd-acde48001122,1
Yes,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,Yes,Yes,No,No,No,ca6d2a68-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(50.4, 57.6]",No,Electronic check,Month-to-month,No,Yes,Male,Yes,Yes,Yes,No,Yes,d491a51e-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,Yes,"(28.3, 38.35]","(7.2, 14.4]",No,Mailed check,Month-to-month,No,No,Male,No,No,No phone service,No,No,d0badfa0-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Bank transfer (automatic),Month-to-month,No,No,Male,Yes,Yes,No,No,No internet service,d3dd9a10-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,Yes,No,"(108.7, 118.75]","(64.8, 72.0]",Yes,Electronic check,One year,No,Yes,Male,Yes,Yes,Yes,Yes,Yes,c95927bc-82c9-11ec-acdd-acde48001122,1
No,DSL,Yes,Yes,Yes,"(78.55, 88.6]","(43.2, 50.4]",No,Mailed check,Two year,No,No,Female,No,Yes,Yes,No,Yes,cfdb57ea-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,Yes,No,"(58.45, 68.5]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,No,Yes,Female,No,Yes,No,No,No,ccc816d8-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(38.35, 48.4]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,c471d9ec-82c9-11ec-acdd-acde48001122,1
Yes,DSL,Yes,No,Yes,"(68.5, 78.55]","(36.0, 43.2]",Yes,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,No,No,cdf10434-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,Yes,c5830be4-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,Yes,Yes,c4e838d0-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,No,"(38.35, 48.4]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,c47989b2-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Credit card (automatic),Two year,Yes,Yes,Male,No,Yes,No,No,No internet service,c49aa05c-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,No,Yes,"(88.6, 98.65]","(-0.073, 7.2]",Yes,Mailed check,Month-to-month,No,No,Male,No,Yes,No,Yes,Yes,cbf906b8-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,Yes,"(78.55, 88.6]","(21.6, 28.8]",Yes,Electronic check,Month-to-month,Yes,Yes,Female,No,Yes,No,No,No,d5cade0a-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,Yes,No,"(98.65, 108.7]","(64.8, 72.0]",Yes,Electronic check,Two year,No,No,Male,Yes,Yes,Yes,Yes,Yes,cb853a76-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,Yes,"(38.35, 48.4]","(7.2, 14.4]",No,Electronic check,Month-to-month,Yes,No,Female,No,No,No phone service,Yes,Yes,d0887c54-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Bank transfer (automatic),Two year,No,Yes,Male,No,Yes,Yes,No,No internet service,c4d9facc-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,Yes,Yes,No,Yes,No,c46f66ee-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(36.0, 43.2]",No internet service,Mailed check,Two year,No,No,Female,No,Yes,No,No,No internet service,c47e5f8c-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,Yes,"(58.45, 68.5]","(64.8, 72.0]",Yes,Credit card (automatic),One year,No,Yes,Male,No,Yes,Yes,No,No,cef0ad6c-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(28.8, 36.0]",No,Electronic check,Month-to-month,No,Yes,Male,Yes,Yes,Yes,Yes,No,c56ee646-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,Yes,"(98.65, 108.7]","(57.6, 64.8]",Yes,Bank transfer (automatic),Month-to-month,No,No,Male,Yes,Yes,Yes,Yes,Yes,d64a0b30-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,Yes,Yes,No,Yes,No,c4fab546-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,Yes,"(48.4, 58.45]","(21.6, 28.8]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,d217cc00-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,c46cdfdc-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(98.65, 108.7]","(36.0, 43.2]",Yes,Electronic check,Month-to-month,Yes,Yes,Male,Yes,Yes,Yes,No,Yes,d6b5e328-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,Yes,"(68.5, 78.55]","(57.6, 64.8]",No,Mailed check,Month-to-month,No,Yes,Male,No,Yes,No,Yes,No,d58a4ec6-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Mailed check,Two year,Yes,No,Male,No,Yes,No,No,No internet service,c67effe4-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,Yes,"(48.4, 58.45]","(-0.073, 7.2]",No,Electronic check,One year,Yes,Yes,Male,No,Yes,No,Yes,No,d0994002-82c9-11ec-acdd-acde48001122,1
No,DSL,No,Yes,Yes,"(68.5, 78.55]","(7.2, 14.4]",No,Mailed check,Month-to-month,Yes,No,Male,No,Yes,No,Yes,Yes,d1da42ae-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,No,"(48.4, 58.45]","(7.2, 14.4]",No,Mailed check,Month-to-month,No,No,Male,Yes,Yes,No,No,No,c6b7a722-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(28.3, 38.35]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,No,No phone service,No,Yes,d0cf106a-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,No,"(38.35, 48.4]","(-0.073, 7.2]",No,Bank transfer (automatic),Month-to-month,No,No,Male,No,Yes,No,Yes,No,c4a82cfe-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(14.4, 21.6]",No internet service,Bank transfer (automatic),One year,Yes,No,Female,No,Yes,No,Yes,No internet service,c861cecc-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,Yes,"(98.65, 108.7]","(21.6, 28.8]",Yes,Electronic check,Month-to-month,No,Yes,Male,No,Yes,Yes,Yes,No,d3cb5eea-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,c46cdf46-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,Yes,"(78.55, 88.6]","(64.8, 72.0]",Yes,Credit card (automatic),Two year,Yes,Yes,Female,No,Yes,Yes,No,Yes,ca7f6d9a-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,No,No,"(48.4, 58.45]","(57.6, 64.8]",Yes,Electronic check,Two year,Yes,Yes,Female,No,No,No phone service,No,Yes,cc247fb4-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,No,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Bank transfer (automatic),Month-to-month,No,No,Male,No,Yes,Yes,Yes,Yes,cbc0a6b0-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,Yes,"(28.3, 38.35]","(43.2, 50.4]",Yes,Mailed check,Month-to-month,No,No,Male,No,No,No phone service,Yes,No,d08d7fa6-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,Yes,"(58.45, 68.5]","(36.0, 43.2]",Yes,Credit card (automatic),Month-to-month,No,Yes,Female,No,Yes,Yes,Yes,No,c756703c-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(98.65, 108.7]","(57.6, 64.8]",Yes,Electronic check,One year,Yes,Yes,Male,Yes,Yes,Yes,No,Yes,d6cb56fe-82c9-11ec-acdd-acde48001122,0
