Partner,Dependents,gender,OnlineSecurity,monthly_charges_bins,OnlineBackup,MultipleLines,PhoneService,PaymentMethod,InternetService,tenure_bins,StreamingMovies,TechSupport,StreamingTV,Contract,DeviceProtection,PaperlessBilling,SeniorCitizen,customerID,Churn
Yes,Yes,Female,No internet service,"(98.65, 108.7]",Yes,No,Yes,Electronic check,Fiber optic,"(57.6, 64.8]",Yes,No internet service,Yes,Month-to-month,Yes,Yes,No,2716-FYIDV,1
No,No,Female,Yes,"(78.55, 88.6]",No,No,Yes,Bank transfer (automatic),Fiber optic,"(14.4, 21.6]",No,No,Yes,Month-to-month,No,No,Yes,5505-KFHFQ,0
No,No,Male,No,"(68.5, 78.55]",No,Yes,Yes,Mailed check,DSL,"(14.4, 21.6]",Yes,No,Yes,Month-to-month,No,No,No,6817-ZVGEI,0
No,Yes,Male,Yes,"(38.35, 48.4]",No,No phone service,No,Electronic check,DSL,"(7.2, 14.4]",No,No,Yes,One year,Yes,Yes,No,2601-RRMOZ,1
No,No,Female,No,"(68.5, 78.55]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(-0.073, 7.2]",No,No,No,Month-to-month,No,No,No,4105-JRZXS,1
Yes,No,Female,No,"(78.55, 88.6]",No,Yes,Yes,Credit card (automatic),Fiber optic,"(57.6, 64.8]",No,Yes,No,One year,No,Yes,No,6029-ROIGZ,0
Yes,Yes,Female,Yes,"(58.45, 68.5]",No,No,Yes,Mailed check,DSL,"(7.2, 14.4]",Yes,No,No,Month-to-month,Yes,Yes,No,0572-JBRPY,0
Yes,Yes,Female,Yes,"(68.5, 78.55]",Yes,Yes,Yes,Electronic check,DSL,"(-0.073, 7.2]",No,No internet service,Yes,One year,No,No,Yes,6429-DSPQH,0
No,No,Male,Yes,"(98.65, 108.7]",Yes,No,Yes,Bank transfer (automatic),Fiber optic,"(64.8, 72.0]",Yes,Yes,Yes,Two year,No,Yes,Yes,2549-VUZSP,0
No,No,Female,Yes,"(78.55, 88.6]",No,No,Yes,Credit card (automatic),Fiber optic,"(21.6, 28.8]",No,No internet service,Yes,Month-to-month,No,Yes,Yes,7738-EPTDA,0
No,Yes,Male,Yes,"(38.35, 48.4]",No,No phone service,No,Credit card (automatic),DSL,"(21.6, 28.8]",No,No,Yes,One year,No,Yes,No,6925-PGWYK,0
Yes,No,Female,No internet service,"(48.4, 58.45]",No,No phone service,No,Electronic check,DSL,"(14.4, 21.6]",Yes,Yes,Yes,Two year,No,Yes,No,0492-LJENU,1
No,No,Male,No,"(68.5, 78.55]",No,No,Yes,Electronic check,Fiber optic,"(7.2, 14.4]",No,No,No,Two year,Yes,No,No,1716-LLNPF,0
Yes,No,Female,No internet service,"(48.4, 58.45]",No,Yes,Yes,Electronic check,DSL,"(14.4, 21.6]",No,No,No,One year,No,Yes,No,1506-FNPTY,0
Yes,Yes,Female,No,"(78.55, 88.6]",Yes,Yes,Yes,Bank transfer (automatic),DSL,"(28.8, 36.0]",Yes,No,Yes,Two year,Yes,Yes,Yes,4151-SEMEN,1
No,No,Female,Yes,"(68.5, 78.55]",No,Yes,Yes,Credit card (automatic),Fiber optic,"(36.0, 43.2]",No,No,No,One year,No,Yes,Yes,7461-ZKRNJ,1
Yes,No,Male,Yes,"(48.4, 58.45]",No,Yes,Yes,Credit card (automatic),DSL,"(36.0, 43.2]",No,No,No,One year,No,No,No,9247-BJEAI,0
No,No,Female,No internet service,"(48.4, 58.45]",No,No,Yes,Bank transfer (automatic),DSL,"(14.4, 21.6]",No,Yes,No,Month-to-month,No,Yes,No,5316-ZIGUN,1
No,No,Male,No,"(58.45, 68.5]",No,No,Yes,Mailed check,DSL,"(-0.073, 7.2]",Yes,Yes,No,Two year,No,No,No,9062-NORAF,0
No,Yes,Male,Yes,"(48.4, 58.45]",No,No phone service,No,Credit card (automatic),DSL,"(50.4, 57.6]",Yes,No,Yes,One year,Yes,Yes,No,6266-KSJEC,0
Yes,No,Female,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(64.8, 72.0]",Yes,No,Yes,Two year,Yes,Yes,No,5138-PAOOC,0
Yes,Yes,Male,Yes,"(38.35, 48.4]",No,No phone service,No,Electronic check,DSL,"(43.2, 50.4]",Yes,No,No,One year,No,Yes,No,8619-PRLID,0
Yes,Yes,Male,Yes,"(68.5, 78.55]",Yes,Yes,Yes,Bank transfer (automatic),DSL,"(28.8, 36.0]",No,No,Yes,Two year,Yes,Yes,No,2367-CDMFL,0
Yes,No,Male,Yes,"(98.65, 108.7]",Yes,No,Yes,Electronic check,Fiber optic,"(21.6, 28.8]",Yes,Yes,Yes,Two year,Yes,Yes,No,9439-UAJKL,0
Yes,No,Male,Yes,"(98.65, 108.7]",No,Yes,Yes,Electronic check,Fiber optic,"(28.8, 36.0]",Yes,Yes,Yes,Two year,Yes,Yes,No,2956-MYPYT,0
Yes,Yes,Male,No internet service,"(108.7, 118.75]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(64.8, 72.0]",Yes,Yes,Yes,Two year,Yes,Yes,No,4336-DASLE,1
No,No,Female,Yes,"(68.5, 78.55]",Yes,No,Yes,Electronic check,DSL,"(7.2, 14.4]",Yes,No,Yes,Month-to-month,No,Yes,No,5674-UVZMK,1
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Bank transfer (automatic),No,"(28.8, 36.0]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,2834-BYKAJ,0
Yes,Yes,Female,Yes,"(78.55, 88.6]",No,Yes,Yes,Electronic check,DSL,"(57.6, 64.8]",Yes,Yes,Yes,Two year,Yes,Yes,No,8281-RPPRC,0
Yes,No,Female,No internet service,"(88.6, 98.65]",Yes,Yes,Yes,Electronic check,Fiber optic,"(28.8, 36.0]",Yes,No,No,Month-to-month,Yes,Yes,Yes,2037-ZJFFQ,1
Yes,Yes,Male,Yes,"(58.45, 68.5]",No,No phone service,No,Bank transfer (automatic),DSL,"(28.8, 36.0]",Yes,Yes,Yes,Two year,Yes,No,No,8877-BZGKV,0
Yes,No,Male,No,"(38.35, 48.4]",Yes,No phone service,No,Mailed check,DSL,"(-0.073, 7.2]",No,No,Yes,Month-to-month,No,No,Yes,3947-OMKPT,1
No,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Credit card (automatic),No,"(14.4, 21.6]",No internet service,No internet service,No internet service,Two year,No internet service,Yes,No,5497-RCJYS,1
No,No,Female,No,"(98.65, 108.7]",No,Yes,Yes,Credit card (automatic),Fiber optic,"(36.0, 43.2]",Yes,Yes,Yes,One year,Yes,Yes,Yes,0564-AFVQF,0
Yes,No,Female,No,"(98.65, 108.7]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(57.6, 64.8]",Yes,Yes,Yes,Month-to-month,No,No,No,0218-KIADJ,1
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(64.8, 72.0]",No internet service,No internet service,No internet service,One year,No internet service,Yes,No,5488-GASRX,0
Yes,No,Female,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(64.8, 72.0]",Yes,Yes,Yes,Two year,Yes,Yes,No,8285-WCXSW,0
No,No,Male,No,"(48.4, 58.45]",No,Yes,Yes,Bank transfer (automatic),DSL,"(-0.073, 7.2]",No,No,No,Month-to-month,No,No,No,9787-LSIBK,0
No,No,Male,Yes,"(58.45, 68.5]",No,No phone service,No,Bank transfer (automatic),DSL,"(43.2, 50.4]",Yes,Yes,Yes,Two year,Yes,Yes,No,3787-LERMK,0
No,No,Male,No internet service,"(58.45, 68.5]",No,No,Yes,Electronic check,Fiber optic,"(28.8, 36.0]",No,No,No,Two year,No,No,No,1899-XANRV,1
Yes,No,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(64.8, 72.0]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,6991-AJMNQ,0
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Mailed check,No,"(36.0, 43.2]",No internet service,No internet service,No internet service,Two year,No internet service,Yes,No,4438-GWGSM,0
No,No,Female,No internet service,"(78.55, 88.6]",No,Yes,Yes,Electronic check,Fiber optic,"(-0.073, 7.2]",No,No,Yes,Month-to-month,No,Yes,Yes,5354-CQVBA,1
Yes,No,Male,No internet service,"(68.5, 78.55]",No,No,Yes,Electronic check,Fiber optic,"(-0.073, 7.2]",No,No internet service,No,Two year,No,Yes,No,5258-DGAVF,1
No,No,Female,No,"(88.6, 98.65]",No,Yes,Yes,Electronic check,Fiber optic,"(14.4, 21.6]",Yes,No,Yes,Month-to-month,No,Yes,No,6122-DFJRQ,1
Yes,Yes,Male,No,"(78.55, 88.6]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(43.2, 50.4]",No,No,No,Month-to-month,No,No,No,5687-ZLDWZ,0
Yes,No,Female,No internet service,"(98.65, 108.7]",No,Yes,Yes,Bank transfer (automatic),Fiber optic,"(28.8, 36.0]",Yes,No,Yes,Month-to-month,Yes,No,Yes,2411-FHMMP,0
Yes,No,Male,Yes,"(68.5, 78.55]",No,Yes,Yes,Credit card (automatic),DSL,"(64.8, 72.0]",Yes,Yes,Yes,Two year,No,Yes,No,7784-LSTUX,0
Yes,Yes,Female,Yes,"(28.3, 38.35]",Yes,No phone service,No,Bank transfer (automatic),DSL,"(57.6, 64.8]",No,Yes,No,Two year,No,No,No,7037-SJRUL,0
No,No,Male,No,"(88.6, 98.65]",No,No,Yes,Bank transfer (automatic),Fiber optic,"(14.4, 21.6]",Yes,No,Yes,Month-to-month,Yes,Yes,Yes,2008-BEYXJ,1
Yes,No,Male,No,"(68.5, 78.55]",No,No,Yes,Mailed check,Fiber optic,"(-0.073, 7.2]",No,No internet service,No,Month-to-month,No,Yes,Yes,5214-XOKKX,1
No,No,Female,No,"(98.65, 108.7]",Yes,Yes,Yes,Electronic check,Fiber optic,"(36.0, 43.2]",Yes,No,Yes,Two year,Yes,Yes,No,3372-PADTR,1
No,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(14.4, 21.6]",No internet service,No internet service,No internet service,One year,No internet service,No,No,1992-YKFDQ,0
Yes,No,Female,No,"(78.55, 88.6]",No,Yes,Yes,Electronic check,Fiber optic,"(36.0, 43.2]",No,No internet service,Yes,Month-to-month,No,Yes,No,4234-WURXK,0
Yes,Yes,Female,Yes,"(68.5, 78.55]",No,Yes,Yes,Bank transfer (automatic),DSL,"(64.8, 72.0]",No,No,Yes,Two year,Yes,Yes,No,1070-LNWKP,0
Yes,Yes,Female,Yes,"(68.5, 78.55]",Yes,No,Yes,Electronic check,DSL,"(64.8, 72.0]",Yes,Yes,No,Two year,Yes,Yes,No,0952-ADJTO,0
No,No,Female,No internet service,"(88.6, 98.65]",No,No,Yes,Bank transfer (automatic),Fiber optic,"(7.2, 14.4]",Yes,No,Yes,One year,No,Yes,No,6258-YTSIQ,1
Yes,Yes,Male,Yes,"(88.6, 98.65]",No,Yes,Yes,Electronic check,Fiber optic,"(28.8, 36.0]",No,Yes,No,Month-to-month,Yes,No,No,9128-CJRUA,0
Yes,Yes,Male,Yes,"(68.5, 78.55]",No,Yes,Yes,Bank transfer (automatic),DSL,"(14.4, 21.6]",Yes,No,Yes,One year,No,Yes,No,6888-QNJWH,0
No,No,Female,Yes,"(48.4, 58.45]",Yes,No phone service,No,Electronic check,DSL,"(36.0, 43.2]",Yes,No,Yes,Month-to-month,No,Yes,Yes,2212-ICELQ,1
No,No,Female,No,"(68.5, 78.55]",No,No,Yes,Bank transfer (automatic),Fiber optic,"(28.8, 36.0]",No,No,No,One year,No,No,Yes,1117-DEDJY,0
Yes,No,Male,No,"(68.5, 78.55]",No,Yes,Yes,Electronic check,Fiber optic,"(-0.073, 7.2]",No,No,No,One year,No,Yes,No,5243-RJVAL,1
No,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(-0.073, 7.2]",No internet service,No internet service,No internet service,Month-to-month,No internet service,No,No,6122-HWPIA,0
Yes,No,Male,Yes,"(68.5, 78.55]",No,No,Yes,Credit card (automatic),Fiber optic,"(7.2, 14.4]",No,No internet service,No,Month-to-month,No,Yes,No,0439-AEJGO,1
Yes,No,Male,No,"(88.6, 98.65]",Yes,Yes,Yes,Electronic check,Fiber optic,"(28.8, 36.0]",Yes,No,No,Month-to-month,Yes,Yes,No,1009-QDYTS,0
Yes,No,Female,Yes,"(78.55, 88.6]",No,No,Yes,Mailed check,DSL,"(57.6, 64.8]",Yes,Yes,Yes,Two year,Yes,No,No,8279-HMZKL,0
No,No,Male,No,"(48.4, 58.45]",Yes,No,Yes,Mailed check,DSL,"(7.2, 14.4]",No,Yes,No,Two year,No,Yes,No,0760-KZWIX,0
No,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(64.8, 72.0]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,8956-TALVF,0
Yes,Yes,Male,Yes,"(68.5, 78.55]",No,No,Yes,Credit card (automatic),DSL,"(-0.073, 7.2]",Yes,Yes,No,Month-to-month,Yes,Yes,No,5763-RRLSC,0
Yes,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Mailed check,No,"(43.2, 50.4]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,4190-WXJUF,0
No,No,Female,Yes,"(78.55, 88.6]",No,Yes,Yes,Bank transfer (automatic),Fiber optic,"(21.6, 28.8]",No,Yes,No,Two year,No,Yes,No,3598-WZYTG,0
No,No,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Bank transfer (automatic),No,"(7.2, 14.4]",No internet service,No internet service,No internet service,One year,No internet service,No,No,4092-VCMFP,0
No,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(50.4, 57.6]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,1737-KISDQ,0
Yes,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Bank transfer (automatic),No,"(-0.073, 7.2]",No internet service,No internet service,No internet service,Month-to-month,No internet service,No,No,8743-YUDST,1
No,No,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(64.8, 72.0]",No internet service,No internet service,No internet service,Two year,No internet service,Yes,No,7909-SOLFU,0
No,No,Male,Yes,"(48.4, 58.45]",Yes,No,Yes,Bank transfer (automatic),DSL,"(-0.073, 7.2]",No,No,No,Month-to-month,No,Yes,No,7659-DUIWI,0
No,Yes,Female,No,"(68.5, 78.55]",No,Yes,Yes,Credit card (automatic),Fiber optic,"(14.4, 21.6]",No,No,No,One year,No,No,No,8396-BJCTI,1
Yes,No,Female,No,"(58.45, 68.5]",Yes,No,Yes,Bank transfer (automatic),DSL,"(-0.073, 7.2]",No,Yes,Yes,Two year,No,No,No,2550-BRUQR,0
No,No,Female,Yes,"(58.45, 68.5]",Yes,No phone service,No,Credit card (automatic),DSL,"(64.8, 72.0]",Yes,Yes,Yes,Two year,Yes,No,No,7734-PPEWS,0
No,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(43.2, 50.4]",No internet service,No internet service,No internet service,Two year,No internet service,Yes,No,3106-LFJBI,0
Yes,No,Female,Yes,"(68.5, 78.55]",No,Yes,Yes,Electronic check,Fiber optic,"(50.4, 57.6]",No,No,No,Month-to-month,No,Yes,Yes,0777-ZKXDA,1
No,No,Male,Yes,"(58.45, 68.5]",No,No,Yes,Bank transfer (automatic),DSL,"(7.2, 14.4]",Yes,Yes,No,Month-to-month,Yes,Yes,No,7165-HVYIB,0
Yes,Yes,Female,No,"(108.7, 118.75]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(21.6, 28.8]",Yes,Yes,Yes,Two year,Yes,Yes,No,9964-CTQYN,0
Yes,Yes,Female,No,"(28.3, 38.35]",No,No phone service,No,Electronic check,DSL,"(36.0, 43.2]",Yes,No,No,Month-to-month,No,Yes,No,4410-YIBMD,1
No,No,Female,No,"(98.65, 108.7]",Yes,Yes,Yes,Electronic check,Fiber optic,"(57.6, 64.8]",Yes,No,Yes,One year,Yes,Yes,No,3712-KMBWL,0
No,Yes,Female,Yes,"(48.4, 58.45]",No,No,Yes,Credit card (automatic),DSL,"(21.6, 28.8]",No,No,No,Month-to-month,Yes,Yes,No,0142-KADSJ,0
No,No,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Electronic check,No,"(7.2, 14.4]",No internet service,No internet service,No internet service,One year,No internet service,Yes,No,7710-FRZZC,0
Yes,Yes,Male,No,"(48.4, 58.45]",Yes,Yes,Yes,Electronic check,DSL,"(43.2, 50.4]",No,No,No,Two year,No,No,No,9153-RUJSX,0
Yes,No,Female,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(28.8, 36.0]",Yes,Yes,Yes,Two year,Yes,Yes,Yes,0990-XMLPR,0
Yes,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Bank transfer (automatic),No,"(21.6, 28.8]",No internet service,No internet service,No internet service,Two year,No internet service,Yes,No,2741-YBUZQ,0
Yes,Yes,Male,Yes,"(88.6, 98.65]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(43.2, 50.4]",No,Yes,Yes,Two year,Yes,Yes,No,6418-OBKTN,0
No,No,Male,No,"(78.55, 88.6]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(28.8, 36.0]",No,No,No,Month-to-month,No,Yes,No,7503-FTOTU,1
No,No,Female,Yes,"(78.55, 88.6]",No,Yes,Yes,Electronic check,Fiber optic,"(7.2, 14.4]",Yes,No,No,One year,No,Yes,No,8986-IDTIH,1
Yes,Yes,Female,No,"(48.4, 58.45]",Yes,No phone service,No,Electronic check,DSL,"(57.6, 64.8]",Yes,Yes,No,Two year,Yes,No,No,2432-NCRCB,0
No,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Bank transfer (automatic),No,"(21.6, 28.8]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,2404-TFYAC,0
Yes,Yes,Male,Yes,"(58.45, 68.5]",Yes,No,Yes,Mailed check,DSL,"(50.4, 57.6]",No,Yes,No,One year,No,No,No,8656-GKTCJ,0
Yes,No,Female,Yes,"(88.6, 98.65]",Yes,Yes,Yes,Electronic check,Fiber optic,"(57.6, 64.8]",No,No,Yes,Month-to-month,No,Yes,No,8899-CTHHJ,0
Yes,Yes,Male,Yes,"(68.5, 78.55]",No,No,Yes,Mailed check,DSL,"(57.6, 64.8]",No,Yes,Yes,Two year,Yes,No,No,6419-IYHWJ,0
No,Yes,Male,Yes,"(58.45, 68.5]",No,No,Yes,Mailed check,DSL,"(14.4, 21.6]",Yes,No,No,One year,Yes,No,No,1999-BQDMW,0
Yes,Yes,Female,Yes,"(78.55, 88.6]",Yes,Yes,Yes,Credit card (automatic),DSL,"(43.2, 50.4]",Yes,Yes,Yes,Two year,No,Yes,No,5355-UOPJL,0
Yes,Yes,Male,No,"(78.55, 88.6]",Yes,Yes,Yes,Bank transfer (automatic),DSL,"(64.8, 72.0]",Yes,No,Yes,Two year,Yes,No,No,0086-MOEBA,0
Yes,Yes,Male,Yes,"(58.45, 68.5]",Yes,No,Yes,Credit card (automatic),DSL,"(57.6, 64.8]",No,No,No,One year,Yes,No,No,1180-EKJNB,1
No,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(7.2, 14.4]",No internet service,No internet service,No internet service,Month-to-month,No internet service,Yes,No,8422-JESNZ,0
Yes,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No,No phone service,No,Mailed check,DSL,"(14.4, 21.6]",No,No,No,Two year,No,Yes,No,1699-CKGEZ,0
Yes,No,Female,No,"(88.6, 98.65]",No,Yes,Yes,Bank transfer (automatic),Fiber optic,"(21.6, 28.8]",Yes,No,Yes,Two year,No,Yes,No,7555-HVOAI,1
Yes,No,Female,Yes,"(58.45, 68.5]",No,Yes,Yes,Credit card (automatic),DSL,"(36.0, 43.2]",No,Yes,No,One year,Yes,No,No,2018-IOXOZ,0
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Mailed check,No,"(-0.073, 7.2]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,6840-RBBAJ,0
Yes,Yes,Male,Yes,"(98.65, 108.7]",Yes,No,Yes,Credit card (automatic),Fiber optic,"(57.6, 64.8]",Yes,Yes,Yes,One year,Yes,No,No,5338-EWYEH,0
No,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Bank transfer (automatic),No,"(36.0, 43.2]",No internet service,No internet service,No internet service,Month-to-month,No internet service,No,No,1455-ZXZNQ,1
No,Yes,Male,Yes,"(68.5, 78.55]",Yes,Yes,Yes,Bank transfer (automatic),DSL,"(43.2, 50.4]",No,No,Yes,Month-to-month,No,Yes,Yes,0692-WHNLP,0
No,No,Male,No internet service,"(78.55, 88.6]",No,No,Yes,Mailed check,Fiber optic,"(50.4, 57.6]",No,No,Yes,Month-to-month,No,Yes,No,9202-HACGE,0
No,No,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(-0.073, 7.2]",No internet service,No internet service,No internet service,One year,No internet service,No,No,0240-BWKWF,0
No,No,Female,No,"(78.55, 88.6]",Yes,Yes,Yes,Electronic check,Fiber optic,"(57.6, 64.8]",No,No,No,Month-to-month,No,No,No,9894-DDHIP,0
No,No,Male,No internet service,"(58.45, 68.5]",Yes,Yes,Yes,Mailed check,DSL,"(14.4, 21.6]",No,Yes,No,Month-to-month,No,No,No,3807-FQOHJ,1
Yes,Yes,Female,Yes,"(78.55, 88.6]",No,No,Yes,Mailed check,Fiber optic,"(-0.073, 7.2]",No,Yes,Yes,Two year,No,Yes,Yes,1877-TZHTP,1
Yes,No,Male,No,"(78.55, 88.6]",No,Yes,Yes,Electronic check,Fiber optic,"(28.8, 36.0]",Yes,No internet service,No,Month-to-month,No,Yes,Yes,4476-CMXSO,1
No,Yes,Female,No,"(68.5, 78.55]",No,Yes,Yes,Mailed check,Fiber optic,"(-0.073, 7.2]",No,No internet service,No,Month-to-month,No,Yes,No,0250-QWNKW,1
No,Yes,Male,No,"(78.55, 88.6]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(21.6, 28.8]",No,No,No,Month-to-month,No,Yes,Yes,9977-WZAWF,0
Yes,No,Female,No,"(58.45, 68.5]",No,Yes,Yes,Bank transfer (automatic),DSL,"(-0.073, 7.2]",No,Yes,Yes,Month-to-month,Yes,No,No,3049-XEACQ,1
No,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Bank transfer (automatic),No,"(21.6, 28.8]",No internet service,No internet service,No internet service,One year,No internet service,No,No,3126-YVQQU,0
No,No,Male,No internet service,"(58.45, 68.5]",Yes,No,Yes,Electronic check,DSL,"(50.4, 57.6]",Yes,Yes,No,One year,No,Yes,No,0935-ARYUI,0
Yes,Yes,Male,Yes,"(58.45, 68.5]",No,No,Yes,Mailed check,DSL,"(14.4, 21.6]",Yes,Yes,No,One year,No,Yes,No,7592-YRSAH,0
Yes,Yes,Male,No internet service,"(78.55, 88.6]",Yes,Yes,Yes,Bank transfer (automatic),Fiber optic,"(57.6, 64.8]",No,No,No,Month-to-month,Yes,Yes,No,0492-HSXBP,1
Yes,No,Male,Yes,"(88.6, 98.65]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(43.2, 50.4]",Yes,No internet service,No,Month-to-month,No,Yes,No,2138-PKFJG,0
No,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Bank transfer (automatic),No,"(28.8, 36.0]",No internet service,No internet service,No internet service,Two year,No internet service,Yes,No,1463-BXBKF,0
Yes,Yes,Male,No,"(58.45, 68.5]",Yes,No phone service,No,Credit card (automatic),DSL,"(64.8, 72.0]",Yes,Yes,Yes,One year,Yes,Yes,No,5091-TUZHJ,0
Yes,Yes,Female,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(57.6, 64.8]",Yes,Yes,Yes,Two year,Yes,No,No,6023-PBEPG,0
Yes,No,Male,No internet service,"(88.6, 98.65]",No,No,Yes,Mailed check,Fiber optic,"(57.6, 64.8]",Yes,No internet service,Yes,Month-to-month,No,Yes,No,9655-ELSVG,1
Yes,No,Female,No,"(78.55, 88.6]",No,No,Yes,Electronic check,Fiber optic,"(14.4, 21.6]",Yes,No internet service,Yes,One year,No,No,No,9064-KQGGI,1
Yes,Yes,Female,Yes,"(58.45, 68.5]",Yes,No phone service,No,Bank transfer (automatic),DSL,"(7.2, 14.4]",Yes,Yes,Yes,Two year,Yes,No,No,6834-JKGND,0
Yes,Yes,Female,No,"(88.6, 98.65]",Yes,Yes,Yes,Electronic check,Fiber optic,"(57.6, 64.8]",Yes,No,No,One year,Yes,Yes,No,1424-YBLIV,0
Yes,Yes,Female,No,"(68.5, 78.55]",Yes,No,Yes,Bank transfer (automatic),Fiber optic,"(14.4, 21.6]",No,No internet service,No,One year,No,Yes,No,8652-BVWZJ,1
Yes,Yes,Male,No,"(48.4, 58.45]",No,No phone service,No,Bank transfer (automatic),DSL,"(50.4, 57.6]",Yes,Yes,Yes,One year,Yes,Yes,No,5551-CUCXI,0
No,Yes,Female,No,"(78.55, 88.6]",No,No,Yes,Electronic check,Fiber optic,"(50.4, 57.6]",No,No,Yes,Month-to-month,No,Yes,No,1150-KHHWH,1
Yes,Yes,Male,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(64.8, 72.0]",Yes,Yes,Yes,One year,Yes,Yes,Yes,2284-CHUBW,0
No,No,Male,No,"(98.65, 108.7]",Yes,Yes,Yes,Electronic check,Fiber optic,"(57.6, 64.8]",Yes,Yes,Yes,Month-to-month,No,No,No,6235-WQAPJ,0
No,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Bank transfer (automatic),No,"(14.4, 21.6]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,8858-YFJYJ,0
Yes,No,Male,No,"(78.55, 88.6]",No,No,Yes,Electronic check,Fiber optic,"(43.2, 50.4]",Yes,No internet service,No,Month-to-month,No,Yes,Yes,5312-FFJLJ,1
No,Yes,Male,No,"(28.3, 38.35]",No,No phone service,No,Credit card (automatic),DSL,"(43.2, 50.4]",No,Yes,No,One year,Yes,No,No,8946-EAZCW,0
Yes,Yes,Female,No internet service,"(78.55, 88.6]",No,No,Yes,Electronic check,Fiber optic,"(-0.073, 7.2]",No,No,Yes,Two year,No,Yes,No,7150-YYGVS,0
Yes,Yes,Male,No internet service,"(68.5, 78.55]",No,No,Yes,Electronic check,DSL,"(36.0, 43.2]",Yes,Yes,Yes,One year,Yes,No,No,4662-EUBNV,0
No,No,Male,Yes,"(78.55, 88.6]",Yes,Yes,Yes,Bank transfer (automatic),DSL,"(50.4, 57.6]",Yes,No internet service,Yes,Two year,Yes,Yes,Yes,2202-KLADZ,0
No,No,Female,No,"(28.3, 38.35]",Yes,No phone service,No,Electronic check,DSL,"(28.8, 36.0]",No,No,No,One year,No,Yes,No,9500-SJPDC,1
No,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Credit card (automatic),No,"(14.4, 21.6]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,0485-BOKTS,0
