Contract,OnlineBackup,PhoneService,OnlineSecurity,InternetService,StreamingMovies,PaymentMethod,TechSupport,Dependents,PaperlessBilling,MultipleLines,gender,DeviceProtection,SeniorCitizen,StreamingTV,tenure_bins,monthly_charges_bins,Partner,customerID,Churn
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,Yes,No,Female,Yes,No,Yes,"(-0.073, 7.2]","(98.65, 108.7]",No,6722-WUQNZ,0
One year,Yes,Yes,Yes,DSL,No,Mailed check,No,Yes,No,No,Male,Yes,No,Yes,"(36.0, 43.2]","(68.5, 78.55]",No,5147-QVMLQ,0
Month-to-month,No,Yes,No,DSL,No,Bank transfer (automatic),Yes,No,No,Yes,Female,Yes,No,Yes,"(-0.073, 7.2]","(58.45, 68.5]",Yes,0131-JYMGO,1
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Female,No,Yes,No,"(-0.073, 7.2]","(68.5, 78.55]",No,1131-IECJA,1
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,No,Yes,Male,No,Yes,Yes,"(14.4, 21.6]","(98.65, 108.7]",Yes,5719-HWCQV,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Female,No internet service,No,No internet service,"(7.2, 14.4]","(18.148999999999997, 28.3]",Yes,5591-PYHHP,0
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,Yes,No,Yes,Male,No internet service,No,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",Yes,8386-JUHHX,0
One year,No,Yes,Yes,Fiber optic,No,Bank transfer (automatic),No,Yes,No,Yes,Male,Yes,No,Yes,"(28.8, 36.0]","(88.6, 98.65]",Yes,9941-JYPRL,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Bank transfer (automatic),No,No,Yes,Yes,Female,No,No,No,"(-0.073, 7.2]","(68.5, 78.55]",No,8196-TEBJT,0
Two year,Yes,Yes,Yes,DSL,No,Bank transfer (automatic),Yes,Yes,No,Yes,Male,Yes,No,No,"(64.8, 72.0]","(68.5, 78.55]",Yes,5467-ULRPE,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Male,No,Yes,No,"(-0.073, 7.2]","(68.5, 78.55]",No,7981-XCQUV,1
One year,No,Yes,Yes,DSL,No,Credit card (automatic),No,Yes,No,No,Female,Yes,No,No,"(57.6, 64.8]","(48.4, 58.45]",Yes,9061-SWQVJ,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,Yes,Yes,Female,No,No,No,"(21.6, 28.8]","(88.6, 98.65]",No,6959-EVRGA,0
Two year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(43.2, 50.4]","(18.148999999999997, 28.3]",Yes,8788-YIHIR,0
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,No,Yes,No,Female,Yes,No,No,"(-0.073, 7.2]","(48.4, 58.45]",No,6189-CDERX,1
One year,No,Yes,No,DSL,Yes,Electronic check,Yes,No,Yes,Yes,Female,Yes,No,No,"(36.0, 43.2]","(68.5, 78.55]",No,5043-FFLLG,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Female,No,Yes,Yes,"(14.4, 21.6]","(88.6, 98.65]",Yes,7515-IWDOG,0
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,No,No,No,Male,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",No,7162-OAERU,0
Two year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,Yes,Yes,Yes,Female,No internet service,No,No internet service,"(43.2, 50.4]","(18.148999999999997, 28.3]",Yes,2629-UIBIJ,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(28.8, 36.0]","(18.148999999999997, 28.3]",Yes,7126-NNKQQ,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Male,No,No,No,"(14.4, 21.6]","(78.55, 88.6]",No,4234-DZVTV,1
Month-to-month,No,Yes,Yes,DSL,Yes,Electronic check,Yes,Yes,No,Yes,Male,Yes,No,Yes,"(50.4, 57.6]","(78.55, 88.6]",Yes,4407-ZALUD,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Female,Yes,Yes,Yes,"(7.2, 14.4]","(98.65, 108.7]",Yes,7469-OLFEJ,1
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,No,Yes,Yes,Male,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",No,6411-NTNAK,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(36.0, 43.2]","(18.148999999999997, 28.3]",Yes,4150-YGYGP,0
One year,Yes,Yes,No,Fiber optic,Yes,Credit card (automatic),Yes,No,No,Yes,Male,Yes,Yes,Yes,"(64.8, 72.0]","(108.7, 118.75]",No,3638-VTHFW,1
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(7.2, 14.4]","(18.148999999999997, 28.3]",No,9143-QIAUJ,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Female,No,No,Yes,"(14.4, 21.6]","(98.65, 108.7]",No,7485-CGTZB,1
One year,No,Yes,No,Fiber optic,No,Electronic check,No,No,No,Yes,Female,No,No,Yes,"(28.8, 36.0]","(78.55, 88.6]",No,8494-YTBQP,1
Two year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,No,Yes,No,Female,No internet service,No,No internet service,"(57.6, 64.8]","(18.148999999999997, 28.3]",No,8753-IXVQY,0
Month-to-month,No,Yes,No,DSL,No,Electronic check,Yes,No,Yes,No,Female,No,No,No,"(-0.073, 7.2]","(48.4, 58.45]",No,9833-SVJUC,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Female,Yes,No,No,"(57.6, 64.8]","(78.55, 88.6]",No,6823-WABKR,0
One year,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(88.6, 98.65]",Yes,2690-LTDCN,0
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,Yes,No,Male,No internet service,No,No internet service,"(36.0, 43.2]","(18.148999999999997, 28.3]",No,0905-TIBVN,0
One year,No,Yes,No,Fiber optic,Yes,Electronic check,No,Yes,Yes,No,Female,Yes,No,Yes,"(28.8, 36.0]","(88.6, 98.65]",Yes,8192-SBVAH,1
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,Yes,Male,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",Yes,6043-GOTPM,0
Two year,Yes,Yes,No,DSL,Yes,Bank transfer (automatic),Yes,Yes,Yes,No,Female,Yes,No,Yes,"(64.8, 72.0]","(78.55, 88.6]",Yes,1207-HEWIT,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,Yes,No,Male,No internet service,No,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",No,9073-TFINS,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,No,No,Yes,Male,No,No,No,"(-0.073, 7.2]","(68.5, 78.55]",No,5431-BLWAR,1
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Female,No,No,No,"(14.4, 21.6]","(78.55, 88.6]",No,2316-YWWBA,0
Month-to-month,No,Yes,No,DSL,No,Electronic check,No,No,No,No,Female,No,Yes,No,"(-0.073, 7.2]","(38.35, 48.4]",No,4906-CIQHA,1
Month-to-month,No,Yes,No,Fiber optic,No,Mailed check,No,Yes,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(68.5, 78.55]",No,5768-GLYCG,1
Month-to-month,Yes,Yes,Yes,Fiber optic,Yes,Mailed check,Yes,No,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(88.6, 98.65]",No,9045-HWMHU,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",Yes,7237-BHAEF,1
Month-to-month,No,Yes,No,DSL,No,Bank transfer (automatic),No,No,No,No,Male,No,No,Yes,"(14.4, 21.6]","(48.4, 58.45]",Yes,3736-CTEWA,0
Month-to-month,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,Yes,Yes,Yes,Female,No,No,Yes,"(7.2, 14.4]","(78.55, 88.6]",Yes,1558-CWEJX,1
Two year,No,Yes,No,Fiber optic,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Male,Yes,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",No,2729-UYSQP,1
Month-to-month,No,Yes,Yes,DSL,Yes,Credit card (automatic),No,Yes,No,No,Male,No,No,Yes,"(-0.073, 7.2]","(68.5, 78.55]",Yes,1794-TJTDH,0
Month-to-month,No,Yes,No,DSL,No,Credit card (automatic),No,No,Yes,No,Female,Yes,No,No,"(43.2, 50.4]","(48.4, 58.45]",Yes,5759-QENYC,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",Yes,1718-VBWJQ,0
Month-to-month,No,No,No,DSL,No,Mailed check,No,Yes,No,No phone service,Male,No,No,No,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,2316-EOYGL,0
Month-to-month,Yes,Yes,No,DSL,No,Mailed check,Yes,No,Yes,No,Female,No,No,No,"(21.6, 28.8]","(48.4, 58.45]",No,0986-HQGBS,0
Month-to-month,No,Yes,No,DSL,Yes,Electronic check,Yes,No,No,No,Female,Yes,No,Yes,"(-0.073, 7.2]","(68.5, 78.55]",No,4524-HQIFC,1
Month-to-month,Yes,Yes,No,Fiber optic,No,Bank transfer (automatic),No,Yes,Yes,No,Female,Yes,No,Yes,"(21.6, 28.8]","(88.6, 98.65]",Yes,2135-OVSYN,1
One year,No,Yes,Yes,Fiber optic,Yes,Electronic check,No,Yes,No,Yes,Male,No,No,Yes,"(36.0, 43.2]","(88.6, 98.65]",Yes,2451-IZRID,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Male,No,No,No,"(-0.073, 7.2]","(68.5, 78.55]",No,4542-UCTXB,1
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,Yes,Yes,No,Male,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",Yes,2298-PEOZG,1
One year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,Yes,Yes,Yes,Female,No internet service,No,No internet service,"(50.4, 57.6]","(18.148999999999997, 28.3]",Yes,3429-UKVJI,0
Month-to-month,Yes,No,No,DSL,Yes,Credit card (automatic),No,No,Yes,No phone service,Female,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",No,6025-ACMIJ,1
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,No,Male,No,No,Yes,"(-0.073, 7.2]","(78.55, 88.6]",No,1576-FAODE,1
Two year,No,No,Yes,DSL,No,Credit card (automatic),Yes,Yes,Yes,No phone service,Female,No,No,Yes,"(28.8, 36.0]","(38.35, 48.4]",Yes,5434-QHRVE,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,No,No,Female,No,No,No,"(-0.073, 7.2]","(78.55, 88.6]",No,4629-BMUQS,1
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,Yes,Yes,Yes,Male,Yes,No,Yes,"(21.6, 28.8]","(88.6, 98.65]",Yes,6952-YAMLR,0
Month-to-month,No,Yes,No,DSL,No,Electronic check,Yes,No,Yes,Yes,Female,No,No,Yes,"(-0.073, 7.2]","(58.45, 68.5]",No,8563-LWKNF,1
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,Yes,Yes,Yes,Male,No internet service,No,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",Yes,2343-YSUPF,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,Yes,Female,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",Yes,7858-ORMJS,0
One year,No,Yes,No,Fiber optic,Yes,Credit card (automatic),Yes,No,Yes,Yes,Female,Yes,No,Yes,"(36.0, 43.2]","(98.65, 108.7]",No,6997-IFHQC,0
One year,No,No,No,DSL,Yes,Electronic check,Yes,No,No,No phone service,Female,Yes,No,Yes,"(21.6, 28.8]","(48.4, 58.45]",No,5938-IWWTK,0
Two year,Yes,No,Yes,DSL,Yes,Bank transfer (automatic),Yes,No,No,No phone service,Female,Yes,No,Yes,"(64.8, 72.0]","(58.45, 68.5]",Yes,4217-PFYAB,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,Yes,Yes,Male,No,Yes,Yes,"(28.8, 36.0]","(98.65, 108.7]",Yes,8394-HHDLO,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Mailed check,No,No,No,Yes,Male,No,No,Yes,"(-0.073, 7.2]","(88.6, 98.65]",No,0955-FCDBG,1
Month-to-month,No,No,No,DSL,No,Mailed check,Yes,Yes,Yes,No phone service,Female,No,No,No,"(-0.073, 7.2]","(28.3, 38.35]",Yes,7031-SFFJD,1
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,No,No,No,Female,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,4171-GBJNP,0
Month-to-month,No,No,No,DSL,No,Bank transfer (automatic),No,No,No,No phone service,Male,No,No,No,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,0052-NNSCM,1
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,Yes,Female,No internet service,No,No internet service,"(43.2, 50.4]","(18.148999999999997, 28.3]",Yes,5772-PFTHX,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Female,No,No,No,"(-0.073, 7.2]","(78.55, 88.6]",No,1144-PCVEZ,1
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,No,No,Yes,Male,No internet service,No,No internet service,"(50.4, 57.6]","(18.148999999999997, 28.3]",Yes,1849-VFXZS,0
Two year,Yes,Yes,No,DSL,No,Mailed check,Yes,Yes,No,Yes,Female,Yes,No,Yes,"(-0.073, 7.2]","(68.5, 78.55]",Yes,0207-VDCNN,0
One year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,No,Yes,No,Male,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",No,6326-VUVOA,0
One year,Yes,Yes,No,Fiber optic,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Female,Yes,No,Yes,"(50.4, 57.6]","(108.7, 118.75]",Yes,7894-TCAWI,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,Yes,No,Yes,Yes,Male,No,Yes,Yes,"(36.0, 43.2]","(88.6, 98.65]",Yes,3136-ONPIR,0
Month-to-month,No,Yes,No,DSL,No,Electronic check,No,No,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",No,6372-EHPWT,1
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,No,Male,No,No,No,"(7.2, 14.4]","(68.5, 78.55]",Yes,0167-SFTGU,1
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Female,Yes,No,Yes,"(14.4, 21.6]","(88.6, 98.65]",Yes,7075-KEFLG,0
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,No,No,No,Female,No internet service,No,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",Yes,1780-RNCMD,0
Month-to-month,No,Yes,Yes,Fiber optic,No,Mailed check,No,Yes,No,No,Female,No,No,No,"(21.6, 28.8]","(68.5, 78.55]",Yes,4202-JFQRN,0
Two year,Yes,Yes,Yes,DSL,No,Credit card (automatic),Yes,No,No,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(78.55, 88.6]",Yes,9953-SPLJY,0
Month-to-month,No,Yes,Yes,DSL,Yes,Mailed check,No,Yes,Yes,No,Male,No,No,Yes,"(7.2, 14.4]","(68.5, 78.55]",No,2314-VMPXS,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,4404-DECNP,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Credit card (automatic),No,No,Yes,Yes,Male,No,Yes,Yes,"(64.8, 72.0]","(88.6, 98.65]",Yes,8554-ZAOCZ,0
Two year,Yes,Yes,No,DSL,Yes,Credit card (automatic),Yes,Yes,Yes,No,Male,Yes,No,Yes,"(64.8, 72.0]","(78.55, 88.6]",No,2662-RISUL,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,Yes,Male,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",No,0725-CESBX,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Female,No,No,No,"(-0.073, 7.2]","(78.55, 88.6]",No,0473-WAOZN,1
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",Yes,1744-JFDAC,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Female,No,Yes,Yes,"(-0.073, 7.2]","(78.55, 88.6]",Yes,5653-ZYCAJ,0
Two year,No,Yes,Yes,DSL,No,Bank transfer (automatic),No,Yes,No,Yes,Male,No,No,No,"(64.8, 72.0]","(48.4, 58.45]",Yes,8423-MQKPH,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Female,No,No,No,"(7.2, 14.4]","(68.5, 78.55]",No,3203-NOGYB,1
Month-to-month,No,Yes,No,Fiber optic,No,Mailed check,No,No,Yes,Yes,Female,No,Yes,No,"(-0.073, 7.2]","(68.5, 78.55]",No,3977-CJSTX,1
Month-to-month,No,No,No,DSL,Yes,Electronic check,No,No,Yes,No phone service,Female,No,No,Yes,"(-0.073, 7.2]","(38.35, 48.4]",No,0369-BHBAG,1
One year,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,No,Yes,Yes,Male,Yes,Yes,No,"(28.8, 36.0]","(78.55, 88.6]",Yes,1717-QFGDN,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Female,No,Yes,Yes,"(14.4, 21.6]","(88.6, 98.65]",No,8023-ENIRS,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,5285-HKQPO,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Male,Yes,No,No,"(7.2, 14.4]","(78.55, 88.6]",Yes,2560-ZWSNC,0
Month-to-month,No,Yes,No,DSL,No,Credit card (automatic),No,No,Yes,No,Male,No,No,No,"(28.8, 36.0]","(38.35, 48.4]",Yes,1128-BLZYP,0
One year,Yes,No,Yes,DSL,No,Bank transfer (automatic),No,No,No,No phone service,Female,Yes,No,Yes,"(21.6, 28.8]","(38.35, 48.4]",Yes,0497-WVQCV,0
One year,Yes,Yes,Yes,Fiber optic,Yes,Credit card (automatic),No,Yes,Yes,Yes,Male,Yes,No,Yes,"(43.2, 50.4]","(108.7, 118.75]",No,8436-ALQLN,0
One year,No,Yes,No,Fiber optic,Yes,Credit card (automatic),No,No,Yes,Yes,Female,Yes,Yes,Yes,"(57.6, 64.8]","(98.65, 108.7]",Yes,4373-IKQRC,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",No,0230-VDTFT,0
Month-to-month,Yes,Yes,No,DSL,No,Credit card (automatic),No,No,No,No,Female,No,Yes,No,"(-0.073, 7.2]","(48.4, 58.45]",Yes,9712-QSWJN,1
Month-to-month,No,Yes,No,Fiber optic,No,Credit card (automatic),No,Yes,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(68.5, 78.55]",Yes,8030-AYTNY,0
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(43.2, 50.4]","(18.148999999999997, 28.3]",Yes,2731-FXEQM,0
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,No,No,No,Female,No internet service,No,No internet service,"(57.6, 64.8]","(18.148999999999997, 28.3]",No,0038-ODRFT,0
One year,No,Yes,Yes,DSL,No,Bank transfer (automatic),Yes,Yes,No,No,Female,No,No,No,"(7.2, 14.4]","(48.4, 58.45]",Yes,3092-TFJCV,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Male,No,No,Yes,"(28.8, 36.0]","(88.6, 98.65]",No,8994-DTEWU,0
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,No,No,No,Female,No,No,No,"(7.2, 14.4]","(38.35, 48.4]",No,0458-EJOXL,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",Yes,2196-JOEZU,0
Month-to-month,No,Yes,Yes,Fiber optic,Yes,Credit card (automatic),No,No,No,Yes,Male,No,Yes,No,"(28.8, 36.0]","(88.6, 98.65]",No,1453-VBBJT,0
Two year,No,Yes,No,Fiber optic,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",Yes,5621-KAEEV,0
Month-to-month,No,Yes,Yes,DSL,Yes,Credit card (automatic),No,Yes,Yes,No,Female,No,No,No,"(-0.073, 7.2]","(58.45, 68.5]",No,7473-SIRTY,0
Month-to-month,No,No,No,DSL,No,Mailed check,No,No,No,No phone service,Male,No,No,No,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,0790-SGSCD,0
Month-to-month,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,Yes,No,No,Female,No,Yes,No,"(43.2, 50.4]","(68.5, 78.55]",Yes,3396-FCBLJ,1
Two year,Yes,Yes,Yes,DSL,No,Credit card (automatic),No,No,Yes,No,Female,Yes,No,Yes,"(57.6, 64.8]","(68.5, 78.55]",Yes,3498-YBWMT,0
Month-to-month,No,Yes,No,Fiber optic,No,Credit card (automatic),No,Yes,Yes,Yes,Female,Yes,Yes,No,"(7.2, 14.4]","(68.5, 78.55]",Yes,3976-QCAHZ,0
One year,No,Yes,Yes,DSL,No,Credit card (automatic),Yes,Yes,No,No,Male,No,No,No,"(21.6, 28.8]","(48.4, 58.45]",Yes,5836-XFJVY,0
Month-to-month,No,Yes,No,Fiber optic,No,Credit card (automatic),Yes,No,Yes,Yes,Male,No,No,Yes,"(28.8, 36.0]","(88.6, 98.65]",Yes,0080-KSFCS,0
Month-to-month,No,Yes,No,Fiber optic,No,Mailed check,No,No,Yes,Yes,Female,No,No,No,"(7.2, 14.4]","(68.5, 78.55]",No,0483-BMUBO,1
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,No,No,No,"(7.2, 14.4]","(78.55, 88.6]",Yes,7304-PLBSH,1
Two year,No,Yes,Yes,DSL,Yes,Credit card (automatic),No,Yes,No,Yes,Female,Yes,No,Yes,"(21.6, 28.8]","(78.55, 88.6]",Yes,8697-QBKIZ,0
Month-to-month,No,No,No,DSL,No,Mailed check,Yes,No,Yes,No phone service,Female,Yes,No,No,"(21.6, 28.8]","(28.3, 38.35]",No,1393-HVJRH,0
One year,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Female,Yes,No,Yes,"(43.2, 50.4]","(88.6, 98.65]",Yes,0569-IAWRB,0
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",Yes,1856-YDJUK,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,No,Yes,Yes,"(-0.073, 7.2]","(88.6, 98.65]",Yes,2603-ZAKHV,1
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,No,No,No,Female,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,4322-RFHYK,0
One year,No,Yes,Yes,DSL,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Male,No,No,No,"(36.0, 43.2]","(68.5, 78.55]",Yes,7530-QYNYS,0
Month-to-month,No,Yes,No,DSL,No,Electronic check,No,No,Yes,Yes,Male,No,No,Yes,"(-0.073, 7.2]","(58.45, 68.5]",No,9390-OWTTY,1
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,No,Yes,Female,Yes,No,Yes,"(50.4, 57.6]","(108.7, 118.75]",No,2650-OQCCW,1
Month-to-month,No,Yes,No,Fiber optic,Yes,Bank transfer (automatic),No,No,No,Yes,Female,Yes,Yes,Yes,"(28.8, 36.0]","(98.65, 108.7]",Yes,3546-DTDWL,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,Yes,Yes,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",Yes,6596-QPMYT,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,Yes,No,No,Male,No,No,Yes,"(14.4, 21.6]","(78.55, 88.6]",Yes,4137-SZUDU,1
Month-to-month,No,No,No,DSL,No,Bank transfer (automatic),No,No,Yes,No phone service,Female,No,No,Yes,"(21.6, 28.8]","(28.3, 38.35]",Yes,5079-ZNCXK,1
One year,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),No,Yes,Yes,Yes,Female,Yes,No,No,"(36.0, 43.2]","(98.65, 108.7]",Yes,2491-FQQVJ,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Male,No,No,Yes,"(7.2, 14.4]","(88.6, 98.65]",No,7985-LOOOZ,0
Two year,No,Yes,No,DSL,Yes,Bank transfer (automatic),Yes,Yes,Yes,No,Male,Yes,No,Yes,"(64.8, 72.0]","(68.5, 78.55]",Yes,3868-FMQTK,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Credit card (automatic),No,No,Yes,No,Male,No,Yes,No,"(14.4, 21.6]","(68.5, 78.55]",Yes,5427-ZQEVN,1
One year,No,Yes,Yes,DSL,No,Mailed check,Yes,No,No,No,Male,No,No,No,"(21.6, 28.8]","(48.4, 58.45]",Yes,3844-RCDHL,0
Two year,No,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),No,Yes,No,Yes,Male,Yes,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",Yes,2671-XPLZO,0
Two year,Yes,Yes,Yes,Fiber optic,Yes,Credit card (automatic),Yes,No,No,No,Male,Yes,No,No,"(64.8, 72.0]","(98.65, 108.7]",Yes,2482-CKPSK,0
