,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Period
1731,a2330494-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,No internet service,Two year,No,Electronic check,39.69375109831881,321.6609364285541,0,M12
1734,a2333892-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),39.69375109831881,321.6609364285541,0,M12
3,a28f0b86-6d2c-11ec-b8fe-acde48001122,Male,No,No,Yes,4,Yes,No phone service,DSL,No internet service,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
4,a28f230a-6d2c-11ec-b8fe-acde48001122,Male,Yes,Yes,Yes,4,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
5,a28f3a48-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,No,No,No,No,No,No,No,Yes,One year,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
6,a28f512c-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
7,a28f6860-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,Yes,No,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
9,a28f96a0-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
11,a28fcab2-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
15,a2902ae8-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,Yes,DSL,No,No,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
17,a2905af4-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,No,No phone service,Fiber optic,No,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,39.69375109831881,251.07183814977995,0,M12
19,a29089ac-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
23,a290e3ac-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
24,a290fa7c-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,Yes,4,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,39.69375109831881,251.07183814977995,0,M12
30,a2918186-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
32,a291af1c-6d2c-11ec-b8fe-acde48001122,Male,No,No,Yes,4,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
33,a291c5a6-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
35,a291f2f6-6d2c-11ec-b8fe-acde48001122,Male,No,No,Yes,4,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
36,a29209a8-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,1,M12
38,a29236d0-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,39.69375109831881,251.07183814977995,0,M12
42,a29292b0-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,1,M12
43,a292a9d0-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,Yes,No,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
45,a292d8ce-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
47,a2930650-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
48,a2931d7a-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
50,a2934aac-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
52,a2937914-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,No,No,No internet service,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,39.69375109831881,251.07183814977995,0,M12
58,a2940258-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
59,a2941932-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
60,a2942fd0-6d2c-11ec-b8fe-acde48001122,Male,Yes,Yes,No,4,Yes,No,No,No internet service,No internet service,No,No,No internet service,No,Month-to-month,No,Mailed check,39.69375109831881,251.07183814977995,0,M12
64,a2948b56-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,No internet service,One year,No,Mailed check,39.69375109831881,251.07183814977995,1,M12
65,a294a21c-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,No,Yes,Fiber optic,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
69,a294fd84-6d2c-11ec-b8fe-acde48001122,Male,No,No,Yes,4,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,39.69375109831881,251.07183814977995,0,M12
70,a295145e-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,No,No,DSL,Yes,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
72,a29540dc-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,39.69375109831881,251.07183814977995,0,M12
73,a2955770-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,No,DSL,No,No,No internet service,No,Yes,Yes,One year,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
78,a295cbe2-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,Yes,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,1,M12
82,a2962592-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,39.69375109831881,251.07183814977995,0,M12
83,a2963b04-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
87,a296925c-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
90,a296d000-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
91,a296e4a0-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,Yes,DSL,No,Yes,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
92,a296f9f4-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,Yes,4,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
93,a2970e94-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,No,DSL,No internet service,No,No internet service,No,No,No,Two year,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
95,a29737e8-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
96,a2974d0a-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,39.69375109831881,251.07183814977995,0,M12
98,a2977618-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,Yes,4,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
100,a2979d82-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,No,No,No,No,No,No internet service,No internet service,No,Two year,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
101,a297b10a-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,Yes,4,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
102,a297c456-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,Yes,4,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,39.69375109831881,251.07183814977995,0,M12
108,a2983f62-6d2c-11ec-b8fe-acde48001122,Male,No,No,Yes,4,No,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
109,a29852fe-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,No,No,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,39.69375109831881,251.07183814977995,1,M12
116,a298d364-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,No,No,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,1,M12
118,a298f632-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,Yes,4,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
121,a29928aa-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,1,M12
123,a2994984-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,Yes,DSL,No,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
126,a29979fe-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,No,DSL,No,Yes,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,1,M12
130,a299bacc-6d2c-11ec-b8fe-acde48001122,Male,Yes,No,Yes,4,Yes,No phone service,No,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
132,a299d994-6d2c-11ec-b8fe-acde48001122,Male,Yes,Yes,Yes,4,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,No,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,1,M12
135,a29a07a2-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,39.69375109831881,251.07183814977995,1,M12
140,a29a543c-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,1,M12
141,a29a6396-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
149,a29ae37a-6d2c-11ec-b8fe-acde48001122,Female,Yes,No,No,4,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
150,a29af2c0-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
152,a29b1156-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,1,M12
157,a29b607a-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,Yes,No,No,No internet service,Yes,No,No,No internet service,One year,Yes,Mailed check,39.69375109831881,251.07183814977995,0,M12
160,a29b8e6a-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,No,No,Fiber optic,No,Yes,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
161,a29b9da6-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,Two year,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
163,a29bbc14-6d2c-11ec-b8fe-acde48001122,Female,Yes,Yes,Yes,4,Yes,No,No,No,Yes,Yes,Yes,No internet service,No,Two year,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
164,a29bcb28-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
170,a29c26b8-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,No,DSL,Yes,Yes,No,No internet service,No,No,One year,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
171,a29c3810-6d2c-11ec-b8fe-acde48001122,Female,Yes,No,No,4,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,One year,No,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
176,a29c855e-6d2c-11ec-b8fe-acde48001122,Male,Yes,Yes,No,4,No,No,Fiber optic,No,No internet service,No internet service,No,No,No,Two year,Yes,Mailed check,39.69375109831881,251.07183814977995,0,M12
179,a29cb330-6d2c-11ec-b8fe-acde48001122,Female,Yes,No,Yes,4,Yes,Yes,DSL,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,1,M12
181,a29cd1bc-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
182,a29ce0f8-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,Yes,One year,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
184,a29d02ae-6d2c-11ec-b8fe-acde48001122,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
188,a29d3fb2-6d2c-11ec-b8fe-acde48001122,Male,Yes,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No,Two year,No,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
189,a29d4ee4-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
191,a29d6d66-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,Yes,DSL,No internet service,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
193,a29d8c10-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
197,a29dc964-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,Yes,4,Yes,Yes,No,No,No,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
199,a29deac0-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Two year,Yes,Mailed check,39.69375109831881,251.07183814977995,0,M12
207,a29e65c2-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
210,a29e938a-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,No,DSL,No,Yes,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
213,a29ec40e-6d2c-11ec-b8fe-acde48001122,Female,Yes,No,No,4,Yes,No,DSL,No,Yes,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
216,a29ef1cc-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
217,a29f0108-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,Yes,DSL,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
221,a29f3dd0-6d2c-11ec-b8fe-acde48001122,Male,Yes,Yes,No,4,No,No,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,One year,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
222,a29f4d3e-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
227,a29f9fa0-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,39.69375109831881,251.07183814977995,0,M12
228,a29faee6-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,Yes,4,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,One year,No,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
231,a29fdcfe-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,Yes,No,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,39.69375109831881,251.07183814977995,0,M12
234,a2a00bb6-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,Yes,4,Yes,Yes,No,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,1,M12
236,a2a02a4c-6d2c-11ec-b8fe-acde48001122,Male,Yes,Yes,No,4,Yes,Yes,No,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
237,a2a039b0-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,1,M12
239,a2a05ac6-6d2c-11ec-b8fe-acde48001122,Male,Yes,No,No,4,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,39.69375109831881,251.07183814977995,1,M12
242,a2a088d4-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,39.69375109831881,251.07183814977995,0,M12
243,a2a09806-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,Yes,DSL,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
244,a2a0a76a-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
245,a2a0b6a6-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,No,One year,Yes,Electronic check,39.69375109831881,251.07183814977995,1,M12
250,a2a10340-6d2c-11ec-b8fe-acde48001122,Male,Yes,No,Yes,4,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,39.69375109831881,251.07183814977995,0,M12
251,a2a1151a-6d2c-11ec-b8fe-acde48001122,Male,No,No,Yes,4,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Electronic check,39.69375109831881,251.07183814977995,1,M12
253,a2a133ba-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,No,No,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
256,a2a16182-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,No,Two year,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
261,a2a1ae44-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,39.69375109831881,251.07183814977995,0,M12
262,a2a1bd9e-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,No,No phone service,Fiber optic,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
267,a2a20cea-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,Yes,Yes,No,No,No,No,Yes,No internet service,Yes,One year,Yes,Mailed check,39.69375109831881,251.07183814977995,0,M12
269,a2a22bda-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,Yes,No,No,Yes,No internet service,Yes,No,No,Two year,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
271,a2a24a8e-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,No,No,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Two year,No,Mailed check,39.69375109831881,251.07183814977995,0,M12
277,a2a2a8f8-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,1,M12
278,a2a2bafa-6d2c-11ec-b8fe-acde48001122,Male,No,No,Yes,4,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
280,a2a2da4e-6d2c-11ec-b8fe-acde48001122,Male,No,No,Yes,4,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
281,a2a2ea02-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,No,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,39.69375109831881,251.07183814977995,0,M12
285,a2a3288c-6d2c-11ec-b8fe-acde48001122,Male,No,No,Yes,4,Yes,Yes,DSL,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,1,M12
286,a2a3384a-6d2c-11ec-b8fe-acde48001122,Male,No,No,Yes,4,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
287,a2a347ea-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,1,M12
288,a2a3578a-6d2c-11ec-b8fe-acde48001122,Female,No,No,Yes,4,Yes,No,Fiber optic,No,Yes,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,1,M12
289,a2a36734-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,1,M12
293,a2a3a744-6d2c-11ec-b8fe-acde48001122,Male,No,No,No,4,No,No,DSL,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,251.07183814977995,0,M12
296,a2a3d624-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,Yes,4,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),39.69375109831881,251.07183814977995,0,M12
305,a2a4692c-6d2c-11ec-b8fe-acde48001122,Female,No,Yes,No,4,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),39.69375109831881,251.07183814977995,1,M12
306,a2a478c2-6d2c-11ec-b8fe-acde48001122,Male,No,Yes,No,4,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
307,a2a489ac-6d2c-11ec-b8fe-acde48001122,Female,No,No,No,4,Yes,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,251.07183814977995,0,M12
