,PaymentMethod_x,PaymentMethod_y
1124,Bank transfer (automatic),Bank transfer (automatic)
1125,Electronic check,Credit card (automatic)
1126,Mailed check,Mailed check
1127,Mailed check,Mailed check
1128,Electronic check,Electronic check
1129,Credit card (automatic),Credit card (automatic)
1130,Credit card (automatic),Credit card (automatic)
1131,Bank transfer (automatic),Bank transfer (automatic)
1132,Bank transfer (automatic),Bank transfer (automatic)
1133,Mailed check,Mailed check
1134,Electronic check,Electronic check
1135,Bank transfer (automatic),Bank transfer (automatic)
1136,Credit card (automatic),Credit card (automatic)
1137,Mailed check,Mailed check
1138,Bank transfer (automatic),Bank transfer (automatic)
1139,Mailed check,Mailed check
1140,Credit card (automatic),Credit card (automatic)
1141,Mailed check,Mailed check
1142,Credit card (automatic),Credit card (automatic)
1143,Credit card (automatic),Credit card (automatic)
1144,Electronic check,Bank transfer (automatic)
1145,Bank transfer (automatic),Bank transfer (automatic)
1146,Mailed check,Mailed check
1147,Electronic check,Bank transfer (automatic)
1148,Electronic check,Electronic check
1149,Mailed check,Mailed check
1150,Electronic check,Electronic check
1151,Electronic check,Credit card (automatic)
1152,Mailed check,Mailed check
1153,Mailed check,Mailed check
1154,Bank transfer (automatic),Bank transfer (automatic)
1155,Credit card (automatic),Credit card (automatic)
1156,Mailed check,Mailed check
1157,Credit card (automatic),Credit card (automatic)
1158,Credit card (automatic),Credit card (automatic)
1159,Electronic check,Mailed check
1160,Electronic check,Credit card (automatic)
1161,Mailed check,Mailed check
1162,Bank transfer (automatic),Bank transfer (automatic)
1163,Bank transfer (automatic),Bank transfer (automatic)
1164,Bank transfer (automatic),Bank transfer (automatic)
1165,Credit card (automatic),Credit card (automatic)
1166,Electronic check,Electronic check
1167,Credit card (automatic),Credit card (automatic)
1168,Mailed check,Mailed check
1169,Credit card (automatic),Credit card (automatic)
1170,Electronic check,Electronic check
1171,Electronic check,Electronic check
1172,Electronic check,Credit card (automatic)
1173,Electronic check,Electronic check
1174,Mailed check,Mailed check
1175,Credit card (automatic),Credit card (automatic)
1176,Credit card (automatic),Credit card (automatic)
1177,Mailed check,Mailed check
1178,Electronic check,Electronic check
1179,Electronic check,Electronic check
1180,Bank transfer (automatic),Bank transfer (automatic)
1181,Bank transfer (automatic),Bank transfer (automatic)
1182,Electronic check,Electronic check
1183,Electronic check,Electronic check
1184,Mailed check,Mailed check
1185,Electronic check,Bank transfer (automatic)
1186,Bank transfer (automatic),Bank transfer (automatic)
1187,Bank transfer (automatic),Bank transfer (automatic)
1188,Electronic check,Electronic check
1189,Credit card (automatic),Credit card (automatic)
1190,Electronic check,Electronic check
1191,Credit card (automatic),Credit card (automatic)
1192,Electronic check,Electronic check
1193,Mailed check,Mailed check
1194,Electronic check,Electronic check
1195,Electronic check,Bank transfer (automatic)
1196,Electronic check,Mailed check
1197,Credit card (automatic),Credit card (automatic)
1198,Bank transfer (automatic),Bank transfer (automatic)
1199,Electronic check,Electronic check
1200,Credit card (automatic),Credit card (automatic)
1201,Electronic check,Electronic check
1202,Bank transfer (automatic),Bank transfer (automatic)
1203,Mailed check,Mailed check
1204,Credit card (automatic),Credit card (automatic)
1205,Electronic check,Bank transfer (automatic)
1206,Electronic check,Electronic check
1207,Credit card (automatic),Credit card (automatic)
1208,Electronic check,Electronic check
1209,Electronic check,Electronic check
1210,Electronic check,Electronic check
1211,Electronic check,Electronic check
1212,Electronic check,Electronic check
1213,Bank transfer (automatic),Bank transfer (automatic)
1214,Bank transfer (automatic),Bank transfer (automatic)
1215,Electronic check,Electronic check
1216,Credit card (automatic),Credit card (automatic)
1217,Credit card (automatic),Credit card (automatic)
1218,Credit card (automatic),Credit card (automatic)
1219,Credit card (automatic),Credit card (automatic)
1220,Bank transfer (automatic),Bank transfer (automatic)
1221,Mailed check,Mailed check
1222,Mailed check,Mailed check
1223,Electronic check,Bank transfer (automatic)
1224,Mailed check,Mailed check
1225,Electronic check,Electronic check
1226,Bank transfer (automatic),Bank transfer (automatic)
1227,Bank transfer (automatic),Bank transfer (automatic)
1228,Mailed check,Mailed check
1229,Credit card (automatic),Credit card (automatic)
1230,Electronic check,Electronic check
1231,Credit card (automatic),Credit card (automatic)
1232,Electronic check,Electronic check
1233,Bank transfer (automatic),Bank transfer (automatic)
1234,Electronic check,Electronic check
1235,Mailed check,Mailed check
1236,Electronic check,Mailed check
1237,Mailed check,Mailed check
1238,Electronic check,Electronic check
1239,Credit card (automatic),Credit card (automatic)
1240,Mailed check,Mailed check
1241,Mailed check,Mailed check
1242,Electronic check,Electronic check
1243,Electronic check,Electronic check
1244,Bank transfer (automatic),Bank transfer (automatic)
1245,Electronic check,Electronic check
1246,Electronic check,Electronic check
1247,Bank transfer (automatic),Bank transfer (automatic)
1248,Electronic check,Electronic check
1249,Mailed check,Mailed check
1250,Bank transfer (automatic),Bank transfer (automatic)
1251,Electronic check,Electronic check
1252,Electronic check,Electronic check
1253,Electronic check,Electronic check
1254,Credit card (automatic),Credit card (automatic)
1255,Electronic check,Electronic check
1256,Credit card (automatic),Credit card (automatic)
1257,Electronic check,Electronic check
1258,Mailed check,Mailed check
1259,Credit card (automatic),Credit card (automatic)
1260,Mailed check,Mailed check
1261,Electronic check,Electronic check
1262,Electronic check,Electronic check
1263,Bank transfer (automatic),Bank transfer (automatic)
1264,Credit card (automatic),Credit card (automatic)
1265,Credit card (automatic),Credit card (automatic)
1266,Electronic check,Electronic check
1267,Bank transfer (automatic),Bank transfer (automatic)
1268,Electronic check,Electronic check
1269,Bank transfer (automatic),Bank transfer (automatic)
1270,Credit card (automatic),Credit card (automatic)
1271,Electronic check,Electronic check
1272,Mailed check,Mailed check
1273,Electronic check,Electronic check
1274,Bank transfer (automatic),Bank transfer (automatic)
1275,Mailed check,Mailed check
1276,Electronic check,Electronic check
1277,Credit card (automatic),Credit card (automatic)
1278,Credit card (automatic),Credit card (automatic)
1279,Bank transfer (automatic),Bank transfer (automatic)
1280,Bank transfer (automatic),Bank transfer (automatic)
1281,Bank transfer (automatic),Bank transfer (automatic)
1282,Mailed check,Mailed check
1283,Electronic check,Bank transfer (automatic)
1284,Mailed check,Mailed check
1285,Electronic check,Electronic check
1286,Credit card (automatic),Credit card (automatic)
1287,Electronic check,Bank transfer (automatic)
1288,Mailed check,Mailed check
1289,Bank transfer (automatic),Bank transfer (automatic)
1290,Credit card (automatic),Credit card (automatic)
1291,Electronic check,Electronic check
1292,Bank transfer (automatic),Bank transfer (automatic)
1293,Bank transfer (automatic),Bank transfer (automatic)
1294,Electronic check,Electronic check
1295,Bank transfer (automatic),Bank transfer (automatic)
1296,Bank transfer (automatic),Bank transfer (automatic)
1297,Electronic check,Electronic check
1298,Electronic check,Electronic check
1299,Electronic check,Credit card (automatic)
1300,Credit card (automatic),Credit card (automatic)
1301,Credit card (automatic),Credit card (automatic)
1302,Mailed check,Mailed check
1303,Bank transfer (automatic),Bank transfer (automatic)
1304,Bank transfer (automatic),Bank transfer (automatic)
1305,Bank transfer (automatic),Bank transfer (automatic)
1306,Credit card (automatic),Credit card (automatic)
1307,Mailed check,Mailed check
1308,Electronic check,Electronic check
1309,Electronic check,Electronic check
1310,Electronic check,Bank transfer (automatic)
1311,Credit card (automatic),Credit card (automatic)
1312,Bank transfer (automatic),Bank transfer (automatic)
1313,Electronic check,Electronic check
1314,Electronic check,Electronic check
1315,Credit card (automatic),Credit card (automatic)
1316,Mailed check,Mailed check
1317,Mailed check,Mailed check
1318,Electronic check,Electronic check
1319,Mailed check,Mailed check
1320,Mailed check,Mailed check
1321,Bank transfer (automatic),Bank transfer (automatic)
1322,Bank transfer (automatic),Bank transfer (automatic)
1323,Bank transfer (automatic),Bank transfer (automatic)
1324,Mailed check,Mailed check
1325,Electronic check,Electronic check
1326,Bank transfer (automatic),Bank transfer (automatic)
1327,Bank transfer (automatic),Bank transfer (automatic)
1328,Electronic check,Electronic check
1329,Bank transfer (automatic),Bank transfer (automatic)
1330,Credit card (automatic),Credit card (automatic)
1331,Mailed check,Mailed check
1332,Bank transfer (automatic),Bank transfer (automatic)
1333,Mailed check,Mailed check
1334,Electronic check,Credit card (automatic)
1335,Mailed check,Mailed check
1336,Bank transfer (automatic),Bank transfer (automatic)
1337,Bank transfer (automatic),Bank transfer (automatic)
1338,Mailed check,Mailed check
1339,Credit card (automatic),Credit card (automatic)
1340,Credit card (automatic),Credit card (automatic)
1341,Credit card (automatic),Credit card (automatic)
1342,Mailed check,Mailed check
1343,Credit card (automatic),Credit card (automatic)
1344,Mailed check,Mailed check
1345,Credit card (automatic),Credit card (automatic)
1346,Electronic check,Electronic check
1347,Mailed check,Mailed check
1348,Electronic check,Bank transfer (automatic)
1349,Electronic check,Electronic check
1350,Mailed check,Mailed check
1351,Electronic check,Electronic check
1352,Bank transfer (automatic),Bank transfer (automatic)
1353,Electronic check,Electronic check
1354,Electronic check,Electronic check
1355,Electronic check,Electronic check
1356,Credit card (automatic),Credit card (automatic)
1357,Bank transfer (automatic),Bank transfer (automatic)
1358,Mailed check,Mailed check
1359,Electronic check,Electronic check
1360,Electronic check,Electronic check
1361,Electronic check,Electronic check
1362,Electronic check,Electronic check
1363,Bank transfer (automatic),Bank transfer (automatic)
1364,Credit card (automatic),Credit card (automatic)
1365,Bank transfer (automatic),Bank transfer (automatic)
1366,Electronic check,Electronic check
1367,Electronic check,Electronic check
1368,Electronic check,Electronic check
1369,Mailed check,Mailed check
1370,Bank transfer (automatic),Bank transfer (automatic)
1371,Electronic check,Electronic check
1372,Mailed check,Mailed check
1373,Mailed check,Mailed check
1374,Mailed check,Mailed check
1375,Bank transfer (automatic),Bank transfer (automatic)
1376,Mailed check,Mailed check
1377,Bank transfer (automatic),Bank transfer (automatic)
1378,Bank transfer (automatic),Bank transfer (automatic)
1379,Bank transfer (automatic),Bank transfer (automatic)
1380,Bank transfer (automatic),Bank transfer (automatic)
1381,Mailed check,Mailed check
1382,Mailed check,Mailed check
1383,Bank transfer (automatic),Bank transfer (automatic)
1384,Electronic check,Electronic check
1385,Credit card (automatic),Credit card (automatic)
1386,Credit card (automatic),Credit card (automatic)
1387,Bank transfer (automatic),Bank transfer (automatic)
1388,Credit card (automatic),Credit card (automatic)
1389,Electronic check,Credit card (automatic)
1390,Credit card (automatic),Credit card (automatic)
1391,Electronic check,Electronic check
1392,Credit card (automatic),Credit card (automatic)
1393,Mailed check,Mailed check
1394,Electronic check,Electronic check
1395,Electronic check,Electronic check
1396,Credit card (automatic),Credit card (automatic)
1397,Credit card (automatic),Credit card (automatic)
1398,Electronic check,Credit card (automatic)
1399,Mailed check,Mailed check
1400,Mailed check,Mailed check
1401,Credit card (automatic),Credit card (automatic)
1402,Electronic check,Mailed check
1403,Electronic check,Mailed check
1404,Bank transfer (automatic),Bank transfer (automatic)
1405,Electronic check,Electronic check
1406,Credit card (automatic),Credit card (automatic)
1407,Mailed check,Mailed check
1408,Credit card (automatic),Credit card (automatic)
1409,Bank transfer (automatic),Bank transfer (automatic)
1410,Electronic check,Electronic check
1411,Bank transfer (automatic),Bank transfer (automatic)
1412,Electronic check,Electronic check
1413,Credit card (automatic),Credit card (automatic)
1414,Electronic check,Electronic check
1415,Credit card (automatic),Credit card (automatic)
1416,Credit card (automatic),Credit card (automatic)
1417,Credit card (automatic),Credit card (automatic)
1418,Bank transfer (automatic),Bank transfer (automatic)
1419,Mailed check,Mailed check
1420,Electronic check,Electronic check
1421,Credit card (automatic),Credit card (automatic)
1422,Credit card (automatic),Credit card (automatic)
1423,Electronic check,Electronic check
1424,Mailed check,Mailed check
1425,Electronic check,Electronic check
1426,Electronic check,Credit card (automatic)
1427,Electronic check,Electronic check
1428,Electronic check,Mailed check
1429,Mailed check,Mailed check
1430,Credit card (automatic),Credit card (automatic)
1431,Bank transfer (automatic),Bank transfer (automatic)
1432,Bank transfer (automatic),Bank transfer (automatic)
1433,Mailed check,Mailed check
1434,Mailed check,Mailed check
1435,Credit card (automatic),Credit card (automatic)
1436,Electronic check,Mailed check
1437,Mailed check,Mailed check
1438,Mailed check,Mailed check
1439,Credit card (automatic),Credit card (automatic)
1440,Credit card (automatic),Credit card (automatic)
1441,Bank transfer (automatic),Bank transfer (automatic)
1442,Electronic check,Electronic check
1443,Mailed check,Mailed check
1444,Electronic check,Electronic check
1445,Mailed check,Mailed check
1446,Electronic check,Credit card (automatic)
1447,Credit card (automatic),Credit card (automatic)
1448,Electronic check,Electronic check
1449,Bank transfer (automatic),Bank transfer (automatic)
1450,Mailed check,Mailed check
1451,Mailed check,Mailed check
1452,Credit card (automatic),Credit card (automatic)
1453,Electronic check,Electronic check
1454,Mailed check,Mailed check
1455,Credit card (automatic),Credit card (automatic)
1456,Electronic check,Electronic check
1457,Electronic check,Bank transfer (automatic)
1458,Electronic check,Electronic check
1459,Electronic check,Bank transfer (automatic)
1460,Electronic check,Bank transfer (automatic)
1461,Credit card (automatic),Credit card (automatic)
1462,Mailed check,Mailed check
1463,Electronic check,Electronic check
1464,Mailed check,Mailed check
1465,Credit card (automatic),Credit card (automatic)
1466,Electronic check,Electronic check
1467,Mailed check,Mailed check
1468,Bank transfer (automatic),Bank transfer (automatic)
1469,Bank transfer (automatic),Bank transfer (automatic)
1470,Mailed check,Mailed check
1471,Credit card (automatic),Credit card (automatic)
1472,Credit card (automatic),Credit card (automatic)
1473,Electronic check,Electronic check
1474,Bank transfer (automatic),Bank transfer (automatic)
1475,Credit card (automatic),Credit card (automatic)
1476,Mailed check,Mailed check
1477,Electronic check,Credit card (automatic)
1478,Electronic check,Electronic check
1479,Electronic check,Electronic check
1480,Mailed check,Mailed check
1481,Credit card (automatic),Credit card (automatic)
1482,Electronic check,Electronic check
1483,Credit card (automatic),Credit card (automatic)
1484,Electronic check,Bank transfer (automatic)
1485,Electronic check,Electronic check
1486,Credit card (automatic),Credit card (automatic)
1487,Electronic check,Mailed check
1488,Mailed check,Mailed check
1489,Mailed check,Mailed check
1490,Bank transfer (automatic),Bank transfer (automatic)
1491,Mailed check,Mailed check
1492,Electronic check,Electronic check
1493,Bank transfer (automatic),Bank transfer (automatic)
1494,Mailed check,Mailed check
1495,Bank transfer (automatic),Bank transfer (automatic)
1496,Electronic check,Electronic check
1497,Bank transfer (automatic),Bank transfer (automatic)
1498,Electronic check,Electronic check
1499,Electronic check,Electronic check
1500,Credit card (automatic),Credit card (automatic)
1501,Mailed check,Mailed check
1502,Electronic check,Electronic check
1503,Bank transfer (automatic),Bank transfer (automatic)
1504,Electronic check,Electronic check
1505,Electronic check,Electronic check
1506,Bank transfer (automatic),Bank transfer (automatic)
1507,Credit card (automatic),Credit card (automatic)
1508,Bank transfer (automatic),Bank transfer (automatic)
1509,Electronic check,Electronic check
1510,Credit card (automatic),Credit card (automatic)
1511,Bank transfer (automatic),Bank transfer (automatic)
1512,Electronic check,Electronic check
1513,Mailed check,Mailed check
1514,Credit card (automatic),Credit card (automatic)
1515,Electronic check,Electronic check
1516,Electronic check,Bank transfer (automatic)
1517,Electronic check,Electronic check
1518,Credit card (automatic),Credit card (automatic)
1519,Electronic check,Electronic check
1520,Mailed check,Mailed check
1521,Electronic check,Electronic check
1522,Bank transfer (automatic),Bank transfer (automatic)
1523,Mailed check,Mailed check
1524,Credit card (automatic),Credit card (automatic)
1525,Mailed check,Mailed check
1526,Electronic check,Electronic check
1527,Bank transfer (automatic),Bank transfer (automatic)
1528,Electronic check,Electronic check
1529,Bank transfer (automatic),Bank transfer (automatic)
1530,Credit card (automatic),Credit card (automatic)
1531,Electronic check,Electronic check
1532,Credit card (automatic),Credit card (automatic)
1533,Electronic check,Electronic check
1534,Credit card (automatic),Credit card (automatic)
1535,Electronic check,Electronic check
1536,Bank transfer (automatic),Bank transfer (automatic)
1537,Electronic check,Bank transfer (automatic)
1538,Electronic check,Mailed check
1539,Electronic check,Electronic check
1540,Credit card (automatic),Credit card (automatic)
1541,Bank transfer (automatic),Bank transfer (automatic)
1542,Electronic check,Electronic check
1543,Electronic check,Electronic check
1544,Mailed check,Mailed check
1545,Bank transfer (automatic),Bank transfer (automatic)
1546,Bank transfer (automatic),Bank transfer (automatic)
1547,Electronic check,Electronic check
1548,Electronic check,Mailed check
1549,Mailed check,Mailed check
1550,Electronic check,Electronic check
1551,Mailed check,Mailed check
1552,Bank transfer (automatic),Bank transfer (automatic)
1553,Bank transfer (automatic),Bank transfer (automatic)
1554,Mailed check,Mailed check
1555,Bank transfer (automatic),Bank transfer (automatic)
1556,Electronic check,Mailed check
1557,Electronic check,Electronic check
1558,Credit card (automatic),Credit card (automatic)
1559,Mailed check,Mailed check
1560,Bank transfer (automatic),Bank transfer (automatic)
1561,Electronic check,Electronic check
1562,Mailed check,Mailed check
1563,Electronic check,Electronic check
1564,Electronic check,Electronic check
1565,Electronic check,Electronic check
1566,Bank transfer (automatic),Bank transfer (automatic)
1567,Credit card (automatic),Credit card (automatic)
1568,Electronic check,Electronic check
1569,Electronic check,Electronic check
1570,Bank transfer (automatic),Bank transfer (automatic)
1571,Mailed check,Mailed check
1572,Electronic check,Mailed check
1573,Electronic check,Electronic check
1574,Mailed check,Mailed check
1575,Electronic check,Credit card (automatic)
1576,Bank transfer (automatic),Bank transfer (automatic)
1577,Bank transfer (automatic),Bank transfer (automatic)
1578,Mailed check,Mailed check
1579,Electronic check,Electronic check
1580,Bank transfer (automatic),Bank transfer (automatic)
1581,Mailed check,Mailed check
1582,Bank transfer (automatic),Bank transfer (automatic)
1583,Credit card (automatic),Credit card (automatic)
1584,Bank transfer (automatic),Bank transfer (automatic)
1585,Credit card (automatic),Credit card (automatic)
1586,Bank transfer (automatic),Bank transfer (automatic)
1587,Bank transfer (automatic),Bank transfer (automatic)
1588,Electronic check,Electronic check
1589,Electronic check,Mailed check
1590,Electronic check,Electronic check
1591,Credit card (automatic),Credit card (automatic)
1592,Credit card (automatic),Credit card (automatic)
1593,Mailed check,Mailed check
1594,Bank transfer (automatic),Bank transfer (automatic)
1595,Electronic check,Electronic check
1596,Electronic check,Electronic check
1597,Bank transfer (automatic),Bank transfer (automatic)
1598,Bank transfer (automatic),Bank transfer (automatic)
1599,Bank transfer (automatic),Bank transfer (automatic)
1600,Electronic check,Electronic check
1601,Electronic check,Electronic check
1602,Electronic check,Electronic check
1603,Bank transfer (automatic),Bank transfer (automatic)
1604,Credit card (automatic),Credit card (automatic)
1605,Credit card (automatic),Credit card (automatic)
1606,Credit card (automatic),Credit card (automatic)
1607,Bank transfer (automatic),Bank transfer (automatic)
1608,Mailed check,Mailed check
1609,Electronic check,Electronic check
1610,Credit card (automatic),Credit card (automatic)
1611,Bank transfer (automatic),Bank transfer (automatic)
1612,Electronic check,Electronic check
1613,Mailed check,Mailed check
1614,Bank transfer (automatic),Bank transfer (automatic)
1615,Bank transfer (automatic),Bank transfer (automatic)
1616,Mailed check,Mailed check
1617,Electronic check,Bank transfer (automatic)
1618,Electronic check,Bank transfer (automatic)
1619,Credit card (automatic),Credit card (automatic)
1620,Bank transfer (automatic),Bank transfer (automatic)
1621,Electronic check,Electronic check
1622,Mailed check,Mailed check
1623,Bank transfer (automatic),Bank transfer (automatic)
1624,Electronic check,Electronic check
1625,Bank transfer (automatic),Bank transfer (automatic)
1626,Bank transfer (automatic),Bank transfer (automatic)
1627,Mailed check,Mailed check
1628,Electronic check,Electronic check
1629,Bank transfer (automatic),Bank transfer (automatic)
1630,Electronic check,Electronic check
1631,Bank transfer (automatic),Bank transfer (automatic)
1632,Credit card (automatic),Credit card (automatic)
1633,Electronic check,Electronic check
1634,Electronic check,Electronic check
1635,Electronic check,Electronic check
1636,Bank transfer (automatic),Bank transfer (automatic)
1637,Credit card (automatic),Credit card (automatic)
1638,Credit card (automatic),Credit card (automatic)
1639,Electronic check,Electronic check
1640,Mailed check,Mailed check
1641,Bank transfer (automatic),Bank transfer (automatic)
1642,Mailed check,Mailed check
1643,Electronic check,Electronic check
1644,Mailed check,Mailed check
1645,Electronic check,Electronic check
1646,Mailed check,Mailed check
1647,Bank transfer (automatic),Bank transfer (automatic)
1648,Electronic check,Electronic check
1649,Mailed check,Mailed check
1650,Mailed check,Mailed check
1651,Electronic check,Bank transfer (automatic)
1652,Mailed check,Mailed check
1653,Mailed check,Mailed check
1654,Mailed check,Mailed check
1655,Mailed check,Mailed check
1656,Electronic check,Mailed check
1657,Electronic check,Electronic check
1658,Credit card (automatic),Credit card (automatic)
1659,Credit card (automatic),Credit card (automatic)
1660,Electronic check,Electronic check
1661,Bank transfer (automatic),Bank transfer (automatic)
1662,Electronic check,Mailed check
1663,Electronic check,Electronic check
1664,Bank transfer (automatic),Bank transfer (automatic)
1665,Electronic check,Electronic check
1666,Mailed check,Mailed check
1667,Credit card (automatic),Credit card (automatic)
1668,Electronic check,Electronic check
1669,Credit card (automatic),Credit card (automatic)
1670,Mailed check,Mailed check
1671,Bank transfer (automatic),Bank transfer (automatic)
1672,Credit card (automatic),Credit card (automatic)
1673,Bank transfer (automatic),Bank transfer (automatic)
1674,Mailed check,Mailed check
1675,Electronic check,Electronic check
1676,Electronic check,Electronic check
1677,Mailed check,Mailed check
1678,Credit card (automatic),Credit card (automatic)
1679,Mailed check,Mailed check
1680,Mailed check,Mailed check
1681,Credit card (automatic),Credit card (automatic)
1682,Electronic check,Electronic check
1683,Credit card (automatic),Credit card (automatic)
1684,Mailed check,Mailed check
1685,Electronic check,Electronic check
1686,Electronic check,Electronic check
1687,Mailed check,Mailed check
1688,Mailed check,Mailed check
1689,Mailed check,Mailed check
1690,Credit card (automatic),Credit card (automatic)
1691,Credit card (automatic),Credit card (automatic)
1692,Credit card (automatic),Credit card (automatic)
1693,Credit card (automatic),Credit card (automatic)
1694,Electronic check,Electronic check
1695,Electronic check,Electronic check
1696,Electronic check,Electronic check
1697,Credit card (automatic),Credit card (automatic)
1698,Electronic check,Electronic check
1699,Mailed check,Mailed check
1700,Bank transfer (automatic),Bank transfer (automatic)
1701,Credit card (automatic),Credit card (automatic)
1702,Bank transfer (automatic),Bank transfer (automatic)
1703,Electronic check,Electronic check
1704,Electronic check,Bank transfer (automatic)
1705,Electronic check,Electronic check
1706,Credit card (automatic),Credit card (automatic)
1707,Electronic check,Electronic check
1708,Electronic check,Electronic check
1709,Credit card (automatic),Credit card (automatic)
1710,Electronic check,Mailed check
1711,Credit card (automatic),Credit card (automatic)
1712,Electronic check,Credit card (automatic)
1713,Bank transfer (automatic),Bank transfer (automatic)
1714,Credit card (automatic),Credit card (automatic)
1715,Mailed check,Mailed check
1716,Credit card (automatic),Credit card (automatic)
1717,Credit card (automatic),Credit card (automatic)
1718,Bank transfer (automatic),Bank transfer (automatic)
1719,Electronic check,Electronic check
1720,Bank transfer (automatic),Bank transfer (automatic)
1721,Credit card (automatic),Credit card (automatic)
1722,Credit card (automatic),Credit card (automatic)
1723,Mailed check,Mailed check
1724,Electronic check,Electronic check
1725,Electronic check,Credit card (automatic)
1726,Electronic check,Bank transfer (automatic)
1727,Electronic check,Electronic check
1728,Bank transfer (automatic),Bank transfer (automatic)
1729,Bank transfer (automatic),Bank transfer (automatic)
1730,Electronic check,Electronic check
1731,Electronic check,Electronic check
1732,Electronic check,Electronic check
1733,Mailed check,Mailed check
1734,Electronic check,Electronic check
1735,Bank transfer (automatic),Bank transfer (automatic)
1736,Mailed check,Mailed check
1737,Mailed check,Mailed check
1738,Bank transfer (automatic),Bank transfer (automatic)
1739,Electronic check,Electronic check
1740,Bank transfer (automatic),Bank transfer (automatic)
1741,Bank transfer (automatic),Bank transfer (automatic)
1742,Bank transfer (automatic),Bank transfer (automatic)
1743,Credit card (automatic),Credit card (automatic)
1744,Bank transfer (automatic),Bank transfer (automatic)
1745,Credit card (automatic),Credit card (automatic)
1746,Bank transfer (automatic),Bank transfer (automatic)
1747,Bank transfer (automatic),Bank transfer (automatic)
1748,Credit card (automatic),Credit card (automatic)
1749,Electronic check,Electronic check
1750,Bank transfer (automatic),Bank transfer (automatic)
1751,Electronic check,Credit card (automatic)
1752,Credit card (automatic),Credit card (automatic)
1753,Bank transfer (automatic),Bank transfer (automatic)
1754,Credit card (automatic),Credit card (automatic)
1755,Electronic check,Bank transfer (automatic)
1756,Bank transfer (automatic),Bank transfer (automatic)
1757,Bank transfer (automatic),Bank transfer (automatic)
1758,Bank transfer (automatic),Bank transfer (automatic)
1759,Mailed check,Mailed check
1760,Bank transfer (automatic),Bank transfer (automatic)
1761,Credit card (automatic),Credit card (automatic)
1762,Bank transfer (automatic),Bank transfer (automatic)
1763,Electronic check,Electronic check
1764,Mailed check,Mailed check
1765,Credit card (automatic),Credit card (automatic)
1766,Mailed check,Mailed check
1767,Credit card (automatic),Credit card (automatic)
1768,Credit card (automatic),Credit card (automatic)
1769,Bank transfer (automatic),Bank transfer (automatic)
1770,Electronic check,Bank transfer (automatic)
1771,Electronic check,Electronic check
1772,Electronic check,Electronic check
1773,Bank transfer (automatic),Bank transfer (automatic)
1774,Mailed check,Mailed check
1775,Electronic check,Bank transfer (automatic)
1776,Bank transfer (automatic),Bank transfer (automatic)
1777,Credit card (automatic),Credit card (automatic)
1778,Credit card (automatic),Credit card (automatic)
1779,Electronic check,Electronic check
1780,Bank transfer (automatic),Bank transfer (automatic)
1781,Electronic check,Electronic check
1782,Electronic check,Credit card (automatic)
1783,Electronic check,Electronic check
1784,Mailed check,Mailed check
1785,Credit card (automatic),Credit card (automatic)
1786,Credit card (automatic),Credit card (automatic)
1787,Bank transfer (automatic),Bank transfer (automatic)
1788,Bank transfer (automatic),Bank transfer (automatic)
1789,Electronic check,Bank transfer (automatic)
1790,Bank transfer (automatic),Bank transfer (automatic)
1791,Mailed check,Mailed check
1792,Bank transfer (automatic),Bank transfer (automatic)
1793,Bank transfer (automatic),Bank transfer (automatic)
1794,Mailed check,Mailed check
1795,Mailed check,Mailed check
1796,Credit card (automatic),Credit card (automatic)
1797,Credit card (automatic),Credit card (automatic)
1798,Bank transfer (automatic),Bank transfer (automatic)
1799,Electronic check,Credit card (automatic)
1800,Bank transfer (automatic),Bank transfer (automatic)
1801,Mailed check,Mailed check
1802,Mailed check,Mailed check
1803,Mailed check,Mailed check
1804,Mailed check,Mailed check
1805,Credit card (automatic),Credit card (automatic)
1806,Credit card (automatic),Credit card (automatic)
1807,Electronic check,Electronic check
1808,Electronic check,Electronic check
1809,Electronic check,Electronic check
1810,Credit card (automatic),Credit card (automatic)
1811,Mailed check,Mailed check
1812,Bank transfer (automatic),Bank transfer (automatic)
1813,Electronic check,Electronic check
1814,Mailed check,Mailed check
1815,Credit card (automatic),Credit card (automatic)
1816,Mailed check,Mailed check
1817,Bank transfer (automatic),Bank transfer (automatic)
1818,Bank transfer (automatic),Bank transfer (automatic)
1819,Credit card (automatic),Credit card (automatic)
1820,Mailed check,Mailed check
1821,Electronic check,Electronic check
1822,Credit card (automatic),Credit card (automatic)
1823,Credit card (automatic),Credit card (automatic)
1824,Bank transfer (automatic),Bank transfer (automatic)
1825,Electronic check,Bank transfer (automatic)
1826,Electronic check,Electronic check
1827,Bank transfer (automatic),Bank transfer (automatic)
1828,Electronic check,Electronic check
1829,Electronic check,Bank transfer (automatic)
1830,Mailed check,Mailed check
1831,Mailed check,Mailed check
1832,Electronic check,Electronic check
1833,Electronic check,Electronic check
1834,Electronic check,Mailed check
1835,Electronic check,Electronic check
1836,Electronic check,Mailed check
1837,Bank transfer (automatic),Bank transfer (automatic)
1838,Electronic check,Electronic check
1839,Credit card (automatic),Credit card (automatic)
1840,Bank transfer (automatic),Bank transfer (automatic)
1841,Electronic check,Electronic check
1842,Electronic check,Electronic check
1843,Credit card (automatic),Credit card (automatic)
1844,Credit card (automatic),Credit card (automatic)
1845,Bank transfer (automatic),Bank transfer (automatic)
1846,Mailed check,Mailed check
1847,Credit card (automatic),Credit card (automatic)
