InternetService,Dependents,Partner,StreamingTV,OnlineSecurity,PaperlessBilling,SeniorCitizen,StreamingMovies,tenure_bins,PaymentMethod,DeviceProtection,Contract,TechSupport,monthly_charges_bins,MultipleLines,gender,PhoneService,OnlineBackup,original_customer_count,original_churn_sum,original_customer_ratio,original_churn_ratio,new_customer_count_float,new_customer_count_int,new_customer_optimized,new_churn_customers
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(7.2, 14.4]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,One year,Yes,"(108.7, 118.75]",Yes,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,One year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,No,"(108.7, 118.75]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Two year,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Two year,Yes,"(108.7, 118.75]",No,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Mailed check,Yes,Two year,No,"(108.7, 118.75]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(-0.073, 7.2]",Mailed check,Yes,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,Yes,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,Yes,No,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,Yes,No,"(21.6, 28.8]",Credit card (automatic),No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,Yes,No,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,Yes,No,"(43.2, 50.4]",Electronic check,No,Month-to-month,Yes,"(88.6, 98.65]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(28.8, 36.0]",Bank transfer (automatic),Yes,One year,Yes,"(108.7, 118.75]",Yes,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(21.6, 28.8]",Electronic check,Yes,Month-to-month,Yes,"(98.65, 108.7]",No,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,No,No,No,"(50.4, 57.6]",Mailed check,Yes,One year,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,No,"(57.6, 64.8]",Credit card (automatic),Yes,One year,Yes,"(98.65, 108.7]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,No,"(57.6, 64.8]",Credit card (automatic),Yes,Two year,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,No,"(64.8, 72.0]",Bank transfer (automatic),Yes,One year,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(98.65, 108.7]",No,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(7.2, 14.4]",Mailed check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(14.4, 21.6]",Electronic check,Yes,Month-to-month,Yes,"(98.65, 108.7]",No,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Electronic check,No,Month-to-month,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(14.4, 21.6]",Mailed check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(28.8, 36.0]",Bank transfer (automatic),No,Month-to-month,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(28.8, 36.0]",Credit card (automatic),Yes,One year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(36.0, 43.2]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,No,"(50.4, 57.6]",Mailed check,No,One year,No,"(78.55, 88.6]",No,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(43.2, 50.4]",Credit card (automatic),Yes,One year,Yes,"(108.7, 118.75]",No,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(43.2, 50.4]",Credit card (automatic),Yes,One year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(50.4, 57.6]",Bank transfer (automatic),Yes,One year,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(57.6, 64.8]",Bank transfer (automatic),No,One year,No,"(98.65, 108.7]",No,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(57.6, 64.8]",Credit card (automatic),Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(57.6, 64.8]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",No,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(57.6, 64.8]",Electronic check,Yes,One year,No,"(98.65, 108.7]",Yes,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),No,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,One year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Mailed check,Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,No,"(50.4, 57.6]",Mailed check,Yes,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,No,"(50.4, 57.6]",Electronic check,Yes,One year,No,"(88.6, 98.65]",No,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,No,"(43.2, 50.4]",Bank transfer (automatic),No,One year,No,"(88.6, 98.65]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Month-to-month,No,"(98.65, 108.7]",No,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Credit card (automatic),No,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(57.6, 64.8]",Bank transfer (automatic),Yes,One year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,One year,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Electronic check,No,Two year,Yes,"(98.65, 108.7]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Electronic check,Yes,One year,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(50.4, 57.6]",Electronic check,Yes,One year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,No,No,No,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(50.4, 57.6]",Electronic check,Yes,Month-to-month,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(50.4, 57.6]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(50.4, 57.6]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,No,No,No,"(43.2, 50.4]",Credit card (automatic),Yes,One year,No,"(88.6, 98.65]",Yes,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(50.4, 57.6]",Bank transfer (automatic),Yes,One year,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(50.4, 57.6]",Bank transfer (automatic),Yes,One year,No,"(88.6, 98.65]",No,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(50.4, 57.6]",Bank transfer (automatic),No,Month-to-month,Yes,"(98.65, 108.7]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(43.2, 50.4]",Electronic check,Yes,Month-to-month,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(43.2, 50.4]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(43.2, 50.4]",Electronic check,No,One year,Yes,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(43.2, 50.4]",Electronic check,No,One year,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(43.2, 50.4]",Bank transfer (automatic),No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Mailed check,No,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,No,No,"(43.2, 50.4]",Mailed check,No,Month-to-month,Yes,"(98.65, 108.7]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Credit card (automatic),Yes,One year,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,No,Yes,Yes,"(7.2, 14.4]",Credit card (automatic),No,Month-to-month,Yes,"(98.65, 108.7]",No,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Bank transfer (automatic),Yes,One year,Yes,"(98.65, 108.7]",No,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(7.2, 14.4]",Bank transfer (automatic),No,Month-to-month,Yes,"(98.65, 108.7]",No,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(21.6, 28.8]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Female,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(21.6, 28.8]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,No,"(50.4, 57.6]",Electronic check,No,One year,No,"(88.6, 98.65]",Yes,Male,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(21.6, 28.8]",Credit card (automatic),Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(21.6, 28.8]",Bank transfer (automatic),No,One year,Yes,"(98.65, 108.7]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,No,"(64.8, 72.0]",Bank transfer (automatic),Yes,One year,Yes,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(14.4, 21.6]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(14.4, 21.6]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",No,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,No,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(14.4, 21.6]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(14.4, 21.6]",Electronic check,No,Month-to-month,Yes,"(88.6, 98.65]",No,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,No,"(64.8, 72.0]",Credit card (automatic),Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(-0.073, 7.2]",Credit card (automatic),Yes,Month-to-month,No,"(98.65, 108.7]",No,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(7.2, 14.4]",Bank transfer (automatic),No,Month-to-month,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,No,Yes,Yes,"(43.2, 50.4]",Credit card (automatic),No,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(7.2, 14.4]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",No,Male,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(7.2, 14.4]",Electronic check,Yes,Month-to-month,Yes,"(108.7, 118.75]",No,Male,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(7.2, 14.4]",Electronic check,Yes,One year,No,"(98.65, 108.7]",No,Male,Yes,No,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(14.4, 21.6]",Bank transfer (automatic),Yes,Month-to-month,Yes,"(98.65, 108.7]",No,Male,Yes,Yes,1,0,0.0001419849495953429,0.0,1.0102229163708647,1.0,1,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(14.4, 21.6]",Credit card (automatic),No,Month-to-month,No,"(98.65, 108.7]",No,Female,Yes,Yes,1,1,0.0001419849495953429,1.0,1.0102229163708647,1.0,1,1
