PaymentMethod,OnlineSecurity,DeviceProtection,MultipleLines,Partner,SeniorCitizen,Contract,PhoneService,tenure_bins,InternetService,Dependents,TechSupport,PaperlessBilling,gender,StreamingTV,OnlineBackup,monthly_charges_bins,StreamingMovies,customerID,Churn
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,No,Male,No,No,"(78.55, 88.6]",Yes,eb665c20-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,No phone service,Yes,No,One year,No,"(57.6, 64.8]",DSL,Yes,Yes,Yes,Female,No,Yes,"(48.4, 58.45]",Yes,f3295ec6-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,Yes,Yes,No,One year,Yes,"(21.6, 28.8]",DSL,No,Yes,No,Male,Yes,No,"(78.55, 88.6]",Yes,eff854be-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,Yes,Yes,No,One year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,fe60150a-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,Yes,Yes,One year,Yes,"(64.8, 72.0]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,eaa90774-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,No,No,No,Two year,Yes,"(43.2, 50.4]",DSL,No,Yes,No,Female,No,Yes,"(58.45, 68.5]",No,f34e4bfa-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,No,Month-to-month,Yes,"(21.6, 28.8]",DSL,No,No,No,Female,No,Yes,"(48.4, 58.45]",No,ed43c1ae-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,Yes,No,Yes,Female,Yes,Yes,"(88.6, 98.65]",Yes,ed383df2-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,Yes,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,Yes,No,No,Male,Yes,No,"(78.55, 88.6]",No,fa7babf2-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,No,Yes,Yes,Male,Yes,Yes,"(88.6, 98.65]",Yes,e8049e3e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(78.55, 88.6]",Yes,eb4b8364-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,One year,Yes,"(14.4, 21.6]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8539354-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,No phone service,Yes,No,Two year,No,"(43.2, 50.4]",DSL,Yes,Yes,No,Female,No,Yes,"(38.35, 48.4]",No,eff23430-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a8bac4-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7aa7b7a-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e7d47650-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,Yes,"(88.6, 98.65]",Yes,ebdb462a-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e7afba5e-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e7afb9be-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,Yes,Two year,Yes,"(64.8, 72.0]",DSL,Yes,Yes,No,Female,Yes,Yes,"(88.6, 98.65]",Yes,fb296760-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No,No,Yes,No,No,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e8c70910-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,Yes,Yes,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,Yes,Yes,Yes,Female,Yes,No,"(98.65, 108.7]",Yes,ebe5a0c0-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No,Yes,Yes,Yes,No,One year,Yes,"(64.8, 72.0]",Fiber optic,Yes,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,fe5c84c6-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,No phone service,Yes,No,Two year,No,"(64.8, 72.0]",DSL,No,Yes,No,Female,Yes,Yes,"(58.45, 68.5]",Yes,e953569a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Male,Yes,Yes,"(108.7, 118.75]",Yes,e8edb240-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,No,Yes,No,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,f40f3266-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8a5ebc2-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(78.55, 88.6]",No,fa436526-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,No,Yes,No,Two year,Yes,"(50.4, 57.6]",DSL,No,Yes,Yes,Male,No,Yes,"(58.45, 68.5]",No,f161cace-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,No,No,Two year,Yes,"(64.8, 72.0]",DSL,No,Yes,No,Male,Yes,Yes,"(88.6, 98.65]",Yes,f55efc00-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,Yes,Yes,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(88.6, 98.65]",Yes,ecd4c92a-773a-11ec-b2a1-acde48001122,1
Electronic check,Yes,Yes,No phone service,Yes,No,One year,No,"(36.0, 43.2]",DSL,No,No,Yes,Male,No,Yes,"(38.35, 48.4]",No,f1831e7c-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,No,Yes,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,No,Male,No,No,"(68.5, 78.55]",No,fa8f1dd6-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,No,Male,Yes,No,"(88.6, 98.65]",Yes,eca38158-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7aa7ad0-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,Yes,No,Yes,Month-to-month,Yes,"(64.8, 72.0]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,ee7a390e-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,No,Yes,Yes,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(98.65, 108.7]",No,f0a8b05c-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a8b736-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,No,No,One year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f7be2980-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,No,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Male,No,Yes,"(78.55, 88.6]",No,f8639faa-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,No,Yes,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,Yes,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,f8359bdc-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,No,No,Male,Yes,No,"(98.65, 108.7]",Yes,f2d46fe2-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Male,Yes,No,"(68.5, 78.55]",Yes,f0c0096e-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,No,No,No,One year,Yes,"(28.8, 36.0]",DSL,No,Yes,No,Male,Yes,Yes,"(68.5, 78.55]",No,f11e0370-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,e828770a-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,No phone service,No,No,Month-to-month,No,"(7.2, 14.4]",DSL,No,No,No,Male,No,Yes,"(28.3, 38.35]",No,eed86844-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,No phone service,No,No,Month-to-month,No,"(28.8, 36.0]",DSL,Yes,Yes,Yes,Male,No,Yes,"(38.35, 48.4]",No,ef01877e-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(57.6, 64.8]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e96472f4-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,No,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,Yes,Yes,Male,Yes,Yes,"(98.65, 108.7]",No,f89efbc2-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,No,No,Female,Yes,Yes,"(98.65, 108.7]",No,f4811232-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e812fcd6-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,No,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,Yes,Yes,No,Female,No,No,"(58.45, 68.5]",No,f9a67b58-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,Yes,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,Yes,Yes,Yes,Male,No,No,"(48.4, 58.45]",No,ee8ba9c8-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,e98ff3ca-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3cb6c20-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,Yes,No,No,Month-to-month,Yes,"(7.2, 14.4]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd212a9e-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,Yes,No,No,No,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,Yes,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,f358a4f6-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,No,No,No,Male,Yes,Yes,"(98.65, 108.7]",Yes,ebcdf952-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,No,No,Two year,Yes,"(57.6, 64.8]",DSL,No,Yes,Yes,Female,No,Yes,"(78.55, 88.6]",Yes,f8deb6d6-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,No,No,No,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,f11afcc0-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,No,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,eb43eb2c-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,No,No,Yes,Female,Yes,No,"(98.65, 108.7]",Yes,f7354520-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e7c0553a-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,Yes,Yes,Male,Yes,Yes,"(108.7, 118.75]",Yes,e7dc6144-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(14.4, 21.6]",No,Yes,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e9956602-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,No,No,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,fb89964e-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,Yes,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,Yes,No,Yes,Male,No,No,"(68.5, 78.55]",No,fcaa4938-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,Yes,Yes,Female,No,No,"(88.6, 98.65]",Yes,ec9ce654-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Two year,Yes,"(57.6, 64.8]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8bee6d6-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,Yes,No,Yes,Female,No,Yes,"(48.4, 58.45]",No,ee8fc3aa-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,No,No,Yes,Female,Yes,No,"(58.45, 68.5]",Yes,fbad373e-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,f1b028cc-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,Yes,No,Yes,Male,No,No,"(48.4, 58.45]",No,ef9bf9b2-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,No,Female,Yes,No,"(78.55, 88.6]",No,e9c96326-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,No,No,One year,Yes,"(57.6, 64.8]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(108.7, 118.75]",Yes,f90403b4-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,No,Yes,No,One year,Yes,"(57.6, 64.8]",DSL,Yes,No,Yes,Female,No,No,"(48.4, 58.45]",No,f3e853e4-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,Yes,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,fc20e2f6-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,No,Yes,No,One year,Yes,"(21.6, 28.8]",No,Yes,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e961c7b6-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,Yes,Yes,No,One year,Yes,"(43.2, 50.4]",DSL,No,Yes,Yes,Female,No,No,"(68.5, 78.55]",Yes,eeac6302-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(57.6, 64.8]",DSL,Yes,Yes,No,Male,No,Yes,"(68.5, 78.55]",No,fae283f4-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,Yes,Yes,No,One year,Yes,"(43.2, 50.4]",DSL,Yes,Yes,Yes,Female,Yes,Yes,"(78.55, 88.6]",Yes,fe6e6ca4-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,"(7.2, 14.4]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,ee26c18e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(78.55, 88.6]",Yes,ecf1483e-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,Yes,Yes,One year,Yes,"(36.0, 43.2]",Fiber optic,No,Yes,Yes,Female,Yes,No,"(98.65, 108.7]",Yes,eaecf0a6-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(21.6, 28.8]",No,No,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fe4ec98a-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,No,One year,Yes,"(50.4, 57.6]",Fiber optic,Yes,Yes,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,ed7d6c38-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,No,No,Yes,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,No,Male,Yes,No,"(88.6, 98.65]",Yes,f4a60984-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,No,No,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,No,No,No,Male,No,No,"(78.55, 88.6]",No,e9ed6456-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,No,No,Yes,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,No,No,No,Male,No,No,"(68.5, 78.55]",No,f49e9136-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,Yes,Yes,No,Month-to-month,Yes,"(64.8, 72.0]",Fiber optic,Yes,No,Yes,Male,Yes,No,"(98.65, 108.7]",Yes,fde0dd8a-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,Yes,No,Yes,No,One year,Yes,"(57.6, 64.8]",DSL,Yes,Yes,No,Male,Yes,Yes,"(78.55, 88.6]",Yes,f51fb5e0-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",DSL,No,Yes,Yes,Male,No,No,"(48.4, 58.45]",No,fbc7f574-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,Yes,No,One year,Yes,"(50.4, 57.6]",DSL,Yes,Yes,Yes,Male,Yes,Yes,"(68.5, 78.55]",No,ed8133a4-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,No,No,Yes,Female,Yes,Yes,"(78.55, 88.6]",Yes,fadefcac-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,Yes,No,Two year,Yes,"(36.0, 43.2]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e863e7b8-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,One year,Yes,"(21.6, 28.8]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8103c3a-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,One year,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e80b9928-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,No,No,One year,Yes,"(7.2, 14.4]",DSL,No,Yes,No,Female,No,No,"(58.45, 68.5]",Yes,fb84e1da-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,"(57.6, 64.8]",Fiber optic,Yes,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",No,f253e796-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,Yes,No,No,Two year,Yes,"(43.2, 50.4]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f39ffb76-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e7ae00b0-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,No phone service,Yes,No,Month-to-month,No,"(-0.073, 7.2]",DSL,Yes,No,Yes,Female,No,No,"(18.148999999999997, 28.3]",No,f203caa4-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(78.55, 88.6]",No,ea60cde2-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,Yes,No,"(88.6, 98.65]",No,e9042d72-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,Two year,Yes,"(57.6, 64.8]",No,Yes,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e945c69c-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,Yes,Yes,One year,Yes,"(64.8, 72.0]",Fiber optic,Yes,Yes,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,ea8af4d2-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,Yes,Yes,No,Two year,Yes,"(43.2, 50.4]",DSL,Yes,Yes,No,Female,Yes,Yes,"(78.55, 88.6]",Yes,f654066e-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,No,Yes,No,One year,Yes,"(43.2, 50.4]",DSL,Yes,Yes,Yes,Female,Yes,Yes,"(78.55, 88.6]",Yes,eef20e84-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,One year,Yes,"(64.8, 72.0]",DSL,Yes,No,Yes,Female,Yes,Yes,"(68.5, 78.55]",No,facfb3a0-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,No,No,Female,Yes,Yes,"(108.7, 118.75]",Yes,f46923e8-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,Yes,Yes,Male,Yes,Yes,"(108.7, 118.75]",Yes,e7e89310-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,No,No,Yes,No,Month-to-month,Yes,"(28.8, 36.0]",DSL,Yes,No,No,Female,No,No,"(48.4, 58.45]",No,f97e21c6-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No phone service,No,No,Month-to-month,No,"(28.8, 36.0]",DSL,No,No,No,Female,No,No,"(18.148999999999997, 28.3]",No,ec5ff78a-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,No,Male,No,No,"(38.35, 48.4]",No,e7b40e06-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,Yes,No,No,One year,Yes,"(28.8, 36.0]",Fiber optic,No,Yes,No,Female,Yes,Yes,"(108.7, 118.75]",Yes,fe1fa150-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,No,No,No,Two year,Yes,"(64.8, 72.0]",DSL,No,Yes,Yes,Female,No,Yes,"(58.45, 68.5]",No,efd1a27e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,No,Yes,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Male,Yes,No,"(98.65, 108.7]",Yes,e8564522-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Male,No,Yes,"(68.5, 78.55]",No,ec854bfc-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No,Yes,No,Yes,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,Yes,No,Yes,Female,No,No,"(68.5, 78.55]",No,fc1e8268-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No phone service,No,No,Month-to-month,No,"(-0.073, 7.2]",DSL,No,No,Yes,Female,Yes,No,"(28.3, 38.35]",No,e89deba2-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,No,No,No,Male,No,No,"(38.35, 48.4]",No,e8205d04-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,Yes,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd5b7c08-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,No,Yes,No,One year,Yes,"(21.6, 28.8]",DSL,Yes,Yes,No,Female,No,Yes,"(58.45, 68.5]",No,ef26b2ba-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(21.6, 28.8]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,eadc63c6-773a-11ec-b2a1-acde48001122,0
